,mean,median,min,max
0,1.0,1.0,1.0,1.0
1,-98.70424068650613,89.77056372085698,-6563.016248137725,7094.316629282736
2,-2135845.0133571513,-73108.68553353059,-30462087.405312244,32590912.29519959
3,-851306407.5168681,-351566935.0433791,-105947288517.22112,114091887216.22966
4,15493792021935.307,366387086175.76697,-247634021181224.7,755659388654205.6
5,-4.5383905493398904e+16,1030746915332870.2,-4.753612048874912e+18,9.137939270004471e+17
6,3.280345375378391e+19,-3.323157276415583e+17,-4.736043086815992e+21,4.3857611021910577e+21
7,6.171971902097432e+22,-2.731968172388217e+20,-3.8308397290883174e+24,1.1204735689483983e+25
8,-4.5567354142734684e+26,8.214823749815277e+23,-4.988691010033514e+28,2.306796519256615e+28
9,-2.1045669993282006e+30,-9.063156490673661e+27,-1.1371814814378427e+32,2.7889492737962437e+31
10,-7.744416332383277e+33,-6.458980080166621e+31,-3.799179843460568e+35,9.002852555701089e+34
11,1.5879271727596808e+37,1.715486106238412e+33,-6.835954083526585e+38,2.8674860714006337e+39
12,5.176143561918451e+39,-5.104617358021494e+37,-4.756408850752925e+41,1.2380995383908799e+42
13,2.636194670105979e+43,5.914234592258678e+37,-2.0470574174388787e+45,3.07676265294182e+45
14,7.684213679615198e+46,8.758669725074713e+43,-2.2893031772722715e+48,3.503027480564994e+48
15,3.031208835489552e+50,3.817165310979779e+46,-1.0834534708834363e+51,9.479014761160925e+51
16,3.4771875228048703e+53,-1.7402359636762004e+49,-3.197901769114197e+55,4.613051650503269e+55
17,-1.0621348532169427e+57,-1.5946656942044584e+53,-8.124021648228096e+58,4.4198639197302387e+58
18,-5.323838466235034e+60,1.0189955265650676e+55,-3.593530144083859e+62,7.188436885664479e+61
19,-1.962716284522823e+64,-2.14931053400357e+59,-8.020476879880953e+65,2.131953095442368e+65
20,-9.857626990236623e+66,3.5409680546116007e+62,-1.1042568398124604e+69,2.633168436854845e+68
21,1.1221570597170512e+70,-5.179113114018685e+65,-2.2944656500770816e+72,3.90675470990335e+72
22,6.128515765912406e+73,-5.295163884448392e+67,-1.5408874466074782e+75,6.3249559804004305e+75
23,3.156998875910534e+77,-1.0644456357563804e+70,-1.937757019855892e+78,1.3869511805419737e+79
24,8.107532968400695e+80,1.4160169987858475e+74,-2.671534793527918e+81,5.498845341943484e+82
25,2.4189706155418173e+84,6.071844040071051e+78,-2.671355804885696e+85,2.3562094831315993e+86
26,-8.053708203412439e+87,-1.6675620993406853e+82,-2.9655417132292485e+89,1.829906114315971e+88
27,2.2131222905659014e+91,1.0586180469936962e+85,-4.1580565917322956e+92,1.332218405090608e+93
28,-7.14135733115482e+94,2.891185790193693e+87,-7.156160730973786e+96,5.341576496223446e+95
29,6.702005583972864e+97,2.128820297713394e+90,-5.1486614896862964e+98,2.979173410706879e+99
30,-9.019938695014179e+100,1.538396781885586e+94,-7.085030027938821e+102,8.507402445438295e+101
31,4.7623008174148556e+103,-2.1728022054226665e+97,-4.718152123620926e+105,8.653520829871045e+105
32,-1.4637636067322165e+107,7.386363371220992e+101,-3.584336767010461e+109,1.512467085497563e+109
33,-3.101365463153063e+110,-8.047941952124246e+104,-1.700223062736199e+113,5.93555485293958e+112
34,-8.659123511843939e+114,-9.200272660086588e+105,-3.991603461392915e+116,1.4208640510430271e+116
35,-1.3145881217649685e+118,-1.8752938551733153e+110,-7.833192000753986e+119,3.2448849687998104e+119
36,8.708280758506363e+120,1.545304062210657e+114,-9.184490127541837e+122,1.1714976563142669e+123
37,7.485872938910446e+124,2.0032497984221008e+117,-2.2936874884013143e+126,4.2718974727379945e+126
