,symbol,open,high,low,close,volume
2018-12-27,BINANCE:OMGBTC,0.000362,0.000376,0.000354,0.000376,460.3059
2018-12-28,BINANCE:OMGBTC,0.000376,0.000393,0.000363,0.000384,483.4794
2018-12-29,BINANCE:OMGBTC,0.000383,0.000385,0.000363,0.000367,468.4055
2018-12-30,BINANCE:OMGBTC,0.000367,0.000384,0.000357,0.000362,470.077
2018-12-31,BINANCE:OMGBTC,0.000361,0.000372,0.000355,0.00037,312.6874
2019-01-01,BINANCE:OMGBTC,0.000371,0.000396,0.000371,0.000385,727.6912
2019-01-02,BINANCE:OMGBTC,0.000385,0.000392,0.000375,0.00038,269.7122
2019-01-03,BINANCE:OMGBTC,0.000382,0.000392,0.000378,0.000382,300.3624
2019-01-04,BINANCE:OMGBTC,0.000382,0.000408,0.000381,0.000391,435.4993
2019-01-05,BINANCE:OMGBTC,0.000392,0.000397,0.000381,0.000388,398.0747
2019-01-06,BINANCE:OMGBTC,0.000387,0.000387,0.000369,0.00037,335.4915
2019-01-07,BINANCE:OMGBTC,0.00037,0.000378,0.000366,0.000372,347.6846
2019-01-08,BINANCE:OMGBTC,0.000372,0.000381,0.000368,0.000379,478.8988
2019-01-09,BINANCE:OMGBTC,0.000378,0.00039,0.000342,0.00035,1203.2643
2019-01-10,BINANCE:OMGBTC,0.000351,0.000358,0.000345,0.000354,577.5024
2019-01-11,BINANCE:OMGBTC,0.000354,0.000361,0.00035,0.000355,297.3018
2019-01-12,BINANCE:OMGBTC,0.000356,0.000361,0.000328,0.000338,641.9853
2019-01-13,BINANCE:OMGBTC,0.000338,0.000354,0.000337,0.000349,453.1516
2019-01-14,BINANCE:OMGBTC,0.00035,0.000353,0.00034,0.000342,460.2489
2019-01-15,BINANCE:OMGBTC,0.000342,0.000353,0.000339,0.000349,535.647
2019-01-16,BINANCE:OMGBTC,0.000351,0.000357,0.000348,0.000356,453.7536
2019-01-17,BINANCE:OMGBTC,0.000355,0.000356,0.000344,0.000351,512.066
2019-01-18,BINANCE:OMGBTC,0.000351,0.00036,0.000347,0.000351,770.6575
2019-01-19,BINANCE:OMGBTC,0.000351,0.000367,0.000346,0.000352,702.3614
2019-01-20,BINANCE:OMGBTC,0.000351,0.00036,0.000349,0.000358,470.4688
2019-01-21,BINANCE:OMGBTC,0.000358,0.00037,0.000355,0.00036,617.6596
2019-01-22,BINANCE:OMGBTC,0.000361,0.000362,0.00035,0.000357,476.1478
2019-01-23,BINANCE:OMGBTC,0.000356,0.000357,0.00035,0.000351,378.1701
2019-01-24,BINANCE:OMGBTC,0.000351,0.000353,0.000344,0.000346,424.0796
2019-01-25,BINANCE:OMGBTC,0.000347,0.000358,0.000344,0.000346,417.4298
2019-01-26,BINANCE:OMGBTC,0.000345,0.00035,0.000311,0.000329,1879.6187
2019-01-27,BINANCE:OMGBTC,0.000329,0.000329,0.000312,0.000324,848.2553
2019-01-28,BINANCE:OMGBTC,0.000323,0.000329,0.000316,0.000323,511.9224
2019-01-29,BINANCE:OMGBTC,0.000323,0.000331,0.000321,0.000328,388.0819
2019-01-30,BINANCE:OMGBTC,0.000326,0.000332,0.000312,0.000316,691.3549
2019-01-31,BINANCE:OMGBTC,0.000316,0.000317,0.000304,0.000313,493.1687
2019-02-01,BINANCE:OMGBTC,0.000313,0.000315,0.000308,0.000314,339.8009
2019-02-02,BINANCE:OMGBTC,0.000314,0.000325,0.000312,0.000318,433.4044
2019-02-03,BINANCE:OMGBTC,0.000318,0.000327,0.000317,0.00032,305.2474
2019-02-04,BINANCE:OMGBTC,0.000319,0.00032,0.000309,0.000311,380.3625
2019-02-05,BINANCE:OMGBTC,0.000311,0.000312,0.000294,0.000299,1299.822
2019-02-06,BINANCE:OMGBTC,0.0003,0.000309,0.000295,0.000305,1363.9972
2019-02-07,BINANCE:OMGBTC,0.000305,0.000319,0.000301,0.000312,2251.3398
2019-02-08,BINANCE:OMGBTC,0.000313,0.000317,0.000307,0.000314,484.0645
2019-02-09,BINANCE:OMGBTC,0.000314,0.000331,0.000314,0.000323,1094.4242
2019-02-10,BINANCE:OMGBTC,0.000324,0.000325,0.000314,0.000318,405.5521
2019-02-11,BINANCE:OMGBTC,0.000318,0.00032,0.000312,0.000318,411.1025
2019-02-12,BINANCE:OMGBTC,0.000318,0.00032,0.000313,0.000315,293.4923
2019-02-13,BINANCE:OMGBTC,0.000315,0.000316,0.000308,0.000312,261.3711
2019-02-14,BINANCE:OMGBTC,0.000312,0.000321,0.00031,0.000315,393.851
2019-02-15,BINANCE:OMGBTC,0.000315,0.000348,0.000315,0.000336,1522.9669
2019-02-16,BINANCE:OMGBTC,0.000335,0.000345,0.000324,0.000334,1365.5026
2019-02-17,BINANCE:OMGBTC,0.000335,0.000349,0.000327,0.000336,1092.4018
2019-02-18,BINANCE:OMGBTC,0.000337,0.00034,0.000327,0.000328,857.4862
2019-02-19,BINANCE:OMGBTC,0.000328,0.000341,0.000327,0.000333,531.0046
2019-02-20,BINANCE:OMGBTC,0.000333,0.000336,0.000313,0.000335,788.9613
2019-02-21,BINANCE:OMGBTC,0.000335,0.000339,0.000323,0.000326,714.1482
2019-02-22,BINANCE:OMGBTC,0.000326,0.000332,0.00032,0.000324,614.3323
2019-02-23,BINANCE:OMGBTC,0.000324,0.00037,0.000323,0.000348,4208.2887
2019-02-24,BINANCE:OMGBTC,0.000349,0.000365,0.000337,0.000342,1630.2691
2019-02-25,BINANCE:OMGBTC,0.000343,0.000361,0.000336,0.00035,1614.2665
2019-02-26,BINANCE:OMGBTC,0.000349,0.000354,0.000325,0.000344,880.7451
2019-02-27,BINANCE:OMGBTC,0.000344,0.000346,0.000335,0.00034,688.8271
2019-02-28,BINANCE:OMGBTC,0.000341,0.000352,0.000338,0.000345,830.1149
2019-03-01,BINANCE:OMGBTC,0.000346,0.000349,0.000328,0.000333,837.0622
2019-03-02,BINANCE:OMGBTC,0.000333,0.000335,0.000322,0.000325,538.9328
2019-03-03,BINANCE:OMGBTC,0.000325,0.000326,0.000307,0.000316,842.5531
2019-03-04,BINANCE:OMGBTC,0.000315,0.000324,0.000314,0.000317,622.0276
2019-03-05,BINANCE:OMGBTC,0.000318,0.000325,0.000313,0.00032,622.9176
2019-03-06,BINANCE:OMGBTC,0.000321,0.000324,0.000317,0.000319,657.2577
2019-03-07,BINANCE:OMGBTC,0.000319,0.00033,0.000314,0.000323,878.3693
2019-03-08,BINANCE:OMGBTC,0.000323,0.00035,0.00032,0.000344,2074.4063
2019-03-09,BINANCE:OMGBTC,0.000345,0.000365,0.000341,0.000352,1541.1618
2019-03-10,BINANCE:OMGBTC,0.000352,0.000358,0.00034,0.000346,779.634
2019-03-11,BINANCE:OMGBTC,0.000346,0.00038,0.000335,0.000372,1583.5261
2019-03-12,BINANCE:OMGBTC,0.000371,0.000379,0.00036,0.000366,982.2256
2019-03-13,BINANCE:OMGBTC,0.000367,0.000435,0.000358,0.000388,3043.9821
2019-03-14,BINANCE:OMGBTC,0.000389,0.000413,0.000382,0.000385,1510.8069
2019-03-15,BINANCE:OMGBTC,0.000385,0.000394,0.000372,0.000381,781.932
2019-03-16,BINANCE:OMGBTC,0.000381,0.000385,0.00037,0.000377,583.3799
2019-03-17,BINANCE:OMGBTC,0.000377,0.000383,0.000364,0.000373,409.1232
2019-03-18,BINANCE:OMGBTC,0.000373,0.000374,0.000367,0.000369,408.2547
2019-03-19,BINANCE:OMGBTC,0.00037,0.000386,0.000363,0.000382,1144.541
2019-03-20,BINANCE:OMGBTC,0.000384,0.000407,0.000373,0.000387,1847.9714
2019-03-21,BINANCE:OMGBTC,0.000387,0.000421,0.000385,0.000415,767.0403
2019-03-22,BINANCE:OMGBTC,0.000415,0.000447,0.00041,0.000445,2251.8521
2019-03-23,BINANCE:OMGBTC,0.000445,0.000461,0.000429,0.000433,1585.9081
2019-03-24,BINANCE:OMGBTC,0.000432,0.000433,0.000404,0.000423,929.7618
2019-03-25,BINANCE:OMGBTC,0.000422,0.000424,0.000398,0.000411,1021.4242
2019-03-26,BINANCE:OMGBTC,0.000412,0.00045,0.000409,0.000441,1280.8372
2019-03-27,BINANCE:OMGBTC,0.000441,0.000443,0.000426,0.000433,831.6865
2019-03-28,BINANCE:OMGBTC,0.000434,0.000506,0.000433,0.000485,3116.5141
2019-03-29,BINANCE:OMGBTC,0.000485,0.000493,0.00045,0.000458,2486.8697
2019-03-30,BINANCE:OMGBTC,0.000458,0.000466,0.000446,0.000451,1049.5184
2019-03-31,BINANCE:OMGBTC,0.000451,0.000466,0.000431,0.000443,1251.6472
2019-04-01,BINANCE:OMGBTC,0.000443,0.000447,0.000391,0.000426,2649.8999
2019-04-02,BINANCE:OMGBTC,0.000426,0.000444,0.000394,0.000402,2616.8876
2019-04-03,BINANCE:OMGBTC,0.000402,0.00045,0.000396,0.000434,1887.9912
2019-04-04,BINANCE:OMGBTC,0.000434,0.000494,0.000433,0.00049,2563.1166
2019-04-05,BINANCE:OMGBTC,0.000489,0.00049,0.000456,0.000461,1032.8438
2019-04-06,BINANCE:OMGBTC,0.000462,0.000463,0.000443,0.000451,950.3665
2019-04-07,BINANCE:OMGBTC,0.000451,0.000475,0.000431,0.000444,1015.3452
2019-04-08,BINANCE:OMGBTC,0.000444,0.000446,0.000424,0.000433,745.8847
2019-04-09,BINANCE:OMGBTC,0.000433,0.000442,0.000418,0.00042,508.8127
2019-04-10,BINANCE:OMGBTC,0.000421,0.000421,0.000377,0.000396,1105.5247
2019-04-11,BINANCE:OMGBTC,0.000395,0.000402,0.000376,0.000389,759.3292
2019-04-12,BINANCE:OMGBTC,0.000389,0.000392,0.000374,0.000379,350.8294
2019-04-13,BINANCE:OMGBTC,0.000379,0.000386,0.00036,0.000385,987.1176
