,symbol,open,high,low,close,volume
2020-06-29,BINANCE:BUSDBIDR,14357.0,14571.0,14357.0,14466.0,24.5153
2020-06-30,BINANCE:BUSDBIDR,14507.0,14589.0,14332.0,14426.0,50.6199
2020-07-01,BINANCE:BUSDBIDR,14424.0,14554.0,14350.0,14462.0,28.5159
2020-07-02,BINANCE:BUSDBIDR,14466.0,14611.0,14463.0,14551.0,6.8321
2020-07-03,BINANCE:BUSDBIDR,14605.0,14636.0,14545.0,14567.0,1.0017
2020-07-04,BINANCE:BUSDBIDR,14572.0,14635.0,14545.0,14545.0,1.2969
2020-07-05,BINANCE:BUSDBIDR,14548.0,14592.0,14395.0,14445.0,25.3313
2020-07-06,BINANCE:BUSDBIDR,14331.0,14510.0,14331.0,14428.0,7.0825
2020-07-07,BINANCE:BUSDBIDR,14367.0,14445.0,14243.0,14244.0,6.8845
2020-07-08,BINANCE:BUSDBIDR,14289.0,14479.0,14228.0,14393.0,19.7745
2020-07-09,BINANCE:BUSDBIDR,14449.0,14551.0,14350.0,14379.0,7.6695
2020-07-10,BINANCE:BUSDBIDR,14370.0,14423.0,14325.0,14353.0,5.5552
2020-07-11,BINANCE:BUSDBIDR,14354.0,14390.0,14334.0,14334.0,3.8287
2020-07-12,BINANCE:BUSDBIDR,14384.0,14464.0,14288.0,14336.0,30.4368
2020-07-13,BINANCE:BUSDBIDR,14337.0,14518.0,14285.0,14435.0,21.3202
2020-07-14,BINANCE:BUSDBIDR,14334.0,14543.0,14334.0,14509.0,2.4491
2020-07-15,BINANCE:BUSDBIDR,14566.0,14770.0,14543.0,14694.0,46.0344
2020-07-16,BINANCE:BUSDBIDR,14721.0,14756.0,14620.0,14751.0,8.8363
2020-07-17,BINANCE:BUSDBIDR,14696.0,14721.0,14636.0,14721.0,0.3147
2020-07-18,BINANCE:BUSDBIDR,14638.0,14726.0,14547.0,14621.0,1.4016
2020-07-19,BINANCE:BUSDBIDR,14624.0,14847.0,14621.0,14713.0,29.0991
2020-07-20,BINANCE:BUSDBIDR,14683.0,14792.0,14615.0,14670.0,9.2507
2020-07-21,BINANCE:BUSDBIDR,14653.0,14719.0,14608.0,14643.0,16.6042
2020-07-22,BINANCE:BUSDBIDR,14586.0,14630.0,14469.0,14594.0,0.7122
2020-07-23,BINANCE:BUSDBIDR,14577.0,14698.0,14555.0,14698.0,1.5166
2020-07-24,BINANCE:BUSDBIDR,14555.0,14677.0,14502.0,14532.0,3.0163
2020-07-25,BINANCE:BUSDBIDR,14519.0,14622.0,14425.0,14549.0,16.2949
2020-07-26,BINANCE:BUSDBIDR,14445.0,14689.0,14415.0,14422.0,12.893
2020-07-27,BINANCE:BUSDBIDR,14406.0,14638.0,14402.0,14469.0,4.2268
2020-07-28,BINANCE:BUSDBIDR,14469.0,14700.0,14446.0,14501.0,2.7494
2020-07-29,BINANCE:BUSDBIDR,14690.0,14763.0,14453.0,14646.0,3.6707
2020-07-30,BINANCE:BUSDBIDR,14593.0,14729.0,14546.0,14546.0,6.6901
2020-07-31,BINANCE:BUSDBIDR,14603.0,14705.0,14440.0,14499.0,4.9989
2020-08-01,BINANCE:BUSDBIDR,14481.0,14700.0,14418.0,14625.0,2.865
2020-08-02,BINANCE:BUSDBIDR,14662.0,14752.0,14601.0,14650.0,6.4113
2020-08-03,BINANCE:BUSDBIDR,14650.0,14702.0,14504.0,14606.0,8.1269
2020-08-04,BINANCE:BUSDBIDR,14596.0,14647.0,14500.0,14524.0,8.2153
2020-08-05,BINANCE:BUSDBIDR,14581.0,14696.0,14502.0,14502.0,6.3855
2020-08-06,BINANCE:BUSDBIDR,14539.0,14699.0,14539.0,14586.0,2.6966
