,mean,median,min,max
0,1.0,1.0,1.0,1.0
1,-124.93814309886812,-505.1973860758028,-6060.821559844391,5741.904633629059
2,-950187.7646259594,-481382.8138872776,-19992338.895541787,24018927.234481785
3,-800834371.432538,-11294078.368255652,-79432959058.08102,78329243410.0434
4,-5798458992085.258,-301920560120.4736,-276808161719129.56,221764357307013.25
5,5934376336954812.0,1312605430008.1553,-4.304725516230945e+17,3.0665104310634086e+17
6,-6.665302273670975e+17,-942420526196836.4,-2.0414415420717751e+21,1.3464541814426968e+21
7,8.186256475349633e+22,1.3022988640138907e+20,-3.1239777884267254e+24,5.92596241151659e+24
8,1.8563167293141286e+26,-2.1691724195312196e+22,-8.479412965306536e+27,2.808721168678725e+28
9,1.0682229776405315e+30,-2.1119679668621754e+25,-2.72693459294264e+31,9.647218122476826e+31
10,3.5023514250490225e+33,-5.929291470605115e+27,-9.662460951289257e+34,3.972951231489693e+35
11,6.548714741890048e+36,2.0320236067915413e+32,-2.1750315218098504e+37,5.413196820271492e+38
12,-1.8125481408692866e+40,2.5839604577278794e+33,-1.9288861904223532e+42,6.495803189683583e+40
13,1.0065223347177191e+43,-5.0386152299518356e+38,-1.0475023069880053e+44,1.0705377216863763e+45
14,3.429955427072214e+46,-1.0561790732381598e+42,-1.6810379946522021e+47,3.7328467468785285e+48
15,-7.655473007911185e+49,-5.664556120525327e+44,-7.439261612677811e+51,2.297739979647087e+50
16,-1.1695926089056731e+52,9.67350946680451e+46,-1.785837141058782e+54,8.841872385179235e+53
17,-7.394909331393872e+55,-8.354936448998633e+49,-5.1554129175401416e+57,3.4461672258107482e+56
18,-1.7707086390749836e+59,-1.0327570780679764e+54,-1.812324784690725e+61,1.3427360726484445e+60
19,-3.797625731854943e+62,2.47624963368439e+56,-3.678114676041854e+64,1.6196586062490029e+63
20,-4.195566630149005e+65,1.735694522627088e+58,-4.7915676318823266e+67,1.2473041383857896e+67
21,1.2326466792968238e+69,-5.724277630203159e+61,-1.224493164846087e+70,1.234977151856781e+71
22,1.195267475953703e+72,5.587277095668341e+66,-1.7928130196706145e+73,1.4698878455271439e+74
23,-7.594873102117767e+75,3.040800316966999e+68,-7.822935989265084e+77,1.7737091281369157e+76
24,1.6920415091086077e+78,-2.8388946528788855e+70,-3.063063414836671e+78,1.1893019554081563e+80
25,-3.644899513909259e+81,1.8756034269517068e+75,-4.466347834344106e+83,5.9843880258930435e+82
26,-1.1614511024716548e+85,-5.681135065977921e+77,-1.1387415965170245e+87,1.3939024825982615e+86
27,1.590565543085406e+88,-2.2250329880925088e+80,-1.716860946343073e+88,1.0080565260528699e+90
28,-2.74629602670217e+90,-2.2691711385078142e+84,-6.054493130263217e+92,5.549886314092313e+92
29,-1.0552428189307329e+94,-2.068279519888105e+86,-5.47158561432697e+95,1.4948566762226895e+95
30,3.0414508741594296e+97,-3.935000096195493e+88,-5.836479213836849e+98,2.8149704677842265e+99
31,3.72964517623249e+100,1.0114930499407482e+94,-1.3072177635059604e+102,2.454627090179054e+102
32,2.0598562941756433e+104,2.0367524002790102e+99,-1.227211754253025e+105,1.2614131456043485e+106
33,-3.033074545365139e+107,-2.2273855881409148e+99,-1.4297362519922828e+109,2.1248814972027722e+108
34,7.7740919315549e+110,-2.9923614669367926e+102,-9.093226564007902e+111,7.361162717644553e+112
35,1.443500466600383e+114,-5.3843649295836156e+107,-1.4795951624654257e+115,1.2958192787076452e+116
36,2.0284066303179837e+117,4.24392760806244e+110,-2.593696243055e+118,1.9983681171263314e+119
37,-6.85554612200678e+120,9.684518928547302e+112,-7.55246147473087e+122,4.834614202165242e+121
38,-4.6548753926362e+123,-9.171050058674714e+115,-4.8514687381561046e+125,8.339401757248143e+124
39,-2.1593236079978992e+127,1.3104794430310708e+119,-2.1070991471358307e+129,1.6238133605601264e+127
40,4.595876775543347e+130,-6.828359417382103e+122,-1.73749902548562e+130,4.505071786472695e+132
41,2.5879597058644846e+133,1.1440808136871735e+125,-1.002195715974006e+134,2.5784496754412413e+135
42,1.4570999137713861e+137,-8.325788167277541e+127,-8.004588840355282e+136,1.446313826317202e+139
43,1.7102621471198427e+139,-1.6493632025548162e+132,-2.1071206248847365e+140,2.275703590556618e+141
44,-8.688052634895368e+141,5.98524267092353e+134,-1.478734761086656e+144,4.031662368066023e+143
45,5.064232242435244e+145,-2.1197887892617103e+137,-5.3593211264410855e+146,3.252295741634436e+147
46,4.2664977269596223e+148,-8.39039858947587e+141,-3.2784126439986044e+150,9.249535532579647e+150
47,-6.096972579441152e+152,-1.4161042573756016e+143,-5.477674694293833e+154,7.065599710829159e+152
48,-3.102909740464046e+155,-1.3269312016698061e+146,-3.1378117543814823e+157,4.417267574214582e+156
49,1.3808411571539229e+159,-1.0771769842891658e+149,-1.8894602366097253e+160,1.5189759534936341e+161
50,1.1697639721223175e+162,4.9455104953471475e+153,-6.845339478480668e+162,1.0098618181291017e+164
51,3.2286091455292593e+165,2.1436146888610504e+152,-1.6171624337546167e+166,3.1262876203262506e+167
52,5.422974893766966e+168,1.1717459107611331e+158,-6.346701349489827e+168,4.7190564869279997e+170
53,-6.7196093762721615e+171,3.310948242184503e+161,-7.201061421869256e+173,5.3049833682413555e+172
54,-6.843852276616775e+174,5.582793262004975e+164,-3.449558092738392e+176,3.068975478892299e+175
55,-1.2309726636318726e+178,3.3619262976605984e+166,-1.80881650645216e+180,1.0952296971496687e+180
56,9.503384007040567e+180,-3.982761575627566e+172,-3.992182358826951e+183,4.784253909135078e+183
57,7.964412033522182e+184,3.628188899917477e+175,-1.3316082288001388e+187,1.9802285311831367e+187
58,7.631105733000674e+188,1.2862931013905019e+179,-5.005127810456623e+187,4.1248105655276005e+190
59,1.0799555860186284e+192,4.0378880261541537e+182,-5.320968488136113e+192,5.604000859614885e+193
60,1.394822863785285e+195,2.8415868653765456e+184,-8.63716251124981e+194,1.2602141649322478e+197
61,5.3207384320515895e+197,-5.316748176107315e+186,-4.855669295410044e+198,3.1325613688958206e+199
62,3.904285741705422e+200,1.5244369174033038e+187,-5.3673881376461785e+202,4.4973651308056205e+202
63,-1.2371963034013543e+204,-1.2305261450103864e+195,-1.9206929583255565e+206,1.2060510113432376e+206
64,-2.605447486112651e+207,2.7351358520509645e+197,-3.96604192200687e+209,9.753081559243195e+208
65,4.0756873430309976e+210,5.466881559563761e+200,-4.200802489951174e+212,9.417036172816423e+212
66,3.4180940567257055e+214,4.282145930064904e+202,-3.35926953849086e+214,3.416867321714184e+216
67,-1.154954899129608e+218,-1.5755042255210553e+205,-1.1789700666083248e+220,2.12512598758358e+218
68,4.2431372788217156e+219,-2.983347447714397e+211,-5.782394519787562e+221,1.8565666519281275e+222
69,-1.6487721800466415e+223,4.515268625187526e+211,-5.055165189556534e+225,2.031885999961669e+225
70,-3.496038510360685e+227,7.253327159062119e+213,-2.6317740276107393e+229,9.63415515932222e+226
71,1.0117545151387606e+231,-5.96480919336205e+218,-1.04599173692504e+232,1.118898519278372e+233
72,-1.765940011233676e+234,-6.791205492717658e+221,-1.5451242829404235e+236,8.089346927065954e+232
73,1.0281424228650127e+237,-2.5824282071295644e+222,-7.366736977348445e+238,1.7504788349340505e+239
74,-5.888866664347446e+240,1.2704041821133022e+224,-5.163983147878789e+242,6.421257509263819e+239
75,1.525151766456066e+243,8.497864669104309e+229,-2.879890444045542e+245,4.385340123171488e+245
76,1.191615380763023e+246,-1.2615300527486155e+234,-9.447852069446702e+247,2.1862688321615252e+248
77,1.3443967689580445e+249,-1.261378955261634e+237,-1.7966116484774133e+249,1.191760633063257e+251
78,-5.973147675010651e+252,-1.085601498691124e+239,-5.0844902534945e+254,5.327227344154814e+251
79,-2.8214865873820027e+255,3.1184599587535786e+243,-2.624999155060186e+257,9.772397013945467e+255
80,3.787390680202742e+258,2.042194302697845e+246,-5.506069594641652e+259,4.061505581962654e+260
81,5.113639920849216e+261,1.0003673954930542e+246,-4.043542920699927e+261,4.6433790102172493e+263
82,2.391318123574667e+264,5.728472309792693e+249,-5.905143442785031e+264,2.1765076354112423e+266
83,inf,5.739538525652821e+255,-2.9327196010301342e+268,inf
84,,-3.8076271009220493e+258,-inf,inf
85,,4.5439642686781926e+262,-inf,inf
86,,-8.425639672668934e+268,-inf,inf
87,,-5.913377402601347e+275,-inf,inf
88,,-inf,-inf,inf
89,,-inf,-inf,inf
90,,-inf,-inf,inf
91,,-inf,-inf,inf
92,,-inf,-inf,inf
93,,-inf,-inf,inf
94,,-inf,-inf,inf
95,,-inf,-inf,inf
96,,-inf,-inf,inf
97,,-inf,-inf,inf
98,,-inf,-inf,inf
99,,-inf,-inf,inf
100,,-inf,-inf,inf
101,,-inf,-inf,inf
102,,-inf,-inf,inf
103,,-inf,-inf,inf
104,,-inf,-inf,inf
105,,-inf,-inf,inf
106,,-inf,-inf,inf
107,,-inf,-inf,inf
108,,-inf,-inf,inf
109,,-inf,-inf,inf
110,,-inf,-inf,inf
111,,-inf,-inf,inf
112,,-inf,-inf,inf
113,,-inf,-inf,inf
114,,-inf,-inf,inf
115,,-inf,-inf,inf
116,,-inf,-inf,inf
117,,-inf,-inf,inf
118,,-inf,-inf,inf
119,,-inf,-inf,inf
120,,-inf,-inf,inf
121,,-inf,-inf,inf
122,,-inf,-inf,inf
123,,-inf,-inf,inf
124,,-inf,-inf,inf
125,,-inf,-inf,inf
126,,-inf,-inf,inf
