,symbol,open,high,low,close,volume
2020-12-10,BINANCE:XLMDOWNUSDT,10.0,11.5,9.662,11.5,15.4436
2020-12-11,BINANCE:XLMDOWNUSDT,11.551,11.552,9.332,10.282,16.9013
2020-12-12,BINANCE:XLMDOWNUSDT,10.058,10.72,7.502,7.625,62.6779
2020-12-13,BINANCE:XLMDOWNUSDT,7.578,8.708,7.353,8.319,70.6808
2020-12-14,BINANCE:XLMDOWNUSDT,8.199,8.94,7.574,8.775,28.5148
2020-12-15,BINANCE:XLMDOWNUSDT,8.789,9.641,5.5,5.658,31.9031
2020-12-16,BINANCE:XLMDOWNUSDT,5.524,6.3,4.551,5.9,36.2013
2020-12-17,BINANCE:XLMDOWNUSDT,6.05,6.462,5.656,5.991,13.867
2020-12-18,BINANCE:XLMDOWNUSDT,5.989,6.29,5.874,6.188,9.2159
2020-12-19,BINANCE:XLMDOWNUSDT,6.281,6.77,5.988,6.471,6.7954
2020-12-20,BINANCE:XLMDOWNUSDT,6.636,8.2,6.174,7.528,19.5552
2020-12-21,BINANCE:XLMDOWNUSDT,7.633,9.032,7.148,8.071,43.8556
2020-12-22,BINANCE:XLMDOWNUSDT,8.124,17.4,8.112,12.075,72.1111
2020-12-23,BINANCE:XLMDOWNUSDT,11.766,12.548,5.466,6.101,192.7333
2020-12-24,BINANCE:XLMDOWNUSDT,6.221,7.191,5.51,6.764,94.0628
2020-12-25,BINANCE:XLMDOWNUSDT,6.822,7.534,6.517,7.3,21.5792
2020-12-26,BINANCE:XLMDOWNUSDT,7.5,8.488,6.201,7.168,38.9152
2020-12-27,BINANCE:XLMDOWNUSDT,7.502,7.768,6.312,7.414,12.3863
2020-12-28,BINANCE:XLMDOWNUSDT,7.46,9.395,7.139,7.734,63.6122
2020-12-29,BINANCE:XLMDOWNUSDT,7.767,9.3,7.584,8.785,40.7531
2020-12-30,BINANCE:XLMDOWNUSDT,8.902,10.276,8.634,9.509,45.0664
2020-12-31,BINANCE:XLMDOWNUSDT,9.509,9.537,7.336,8.472,35.8543
2021-01-01,BINANCE:XLMDOWNUSDT,8.57,9.3,8.163,9.125,14.6675
2021-01-02,BINANCE:XLMDOWNUSDT,9.24,9.774,7.49,7.915,28.5917
2021-01-03,BINANCE:XLMDOWNUSDT,7.825,8.117,3.819,4.025,384.5629
2021-01-04,BINANCE:XLMDOWNUSDT,4.008,4.805,2.377,2.715,1697.0329
2021-01-05,BINANCE:XLMDOWNUSDT,2.699,2.75,0.365,0.385,79658.3592
2021-01-06,BINANCE:XLMDOWNUSDT,0.384,0.428,0.215,0.304,126591.3374
2021-01-07,BINANCE:XLMDOWNUSDT,0.303,0.426,0.229,0.296,59030.9145
2021-01-08,BINANCE:XLMDOWNUSDT,0.293,0.34,0.221,0.253,21951.6473
2021-01-09,BINANCE:XLMDOWNUSDT,0.25,0.355,0.226,0.289,34411.8133
2021-01-10,BINANCE:XLMDOWNUSDT,0.29,0.534,0.263,0.275,48676.2119
2021-01-11,BINANCE:XLMDOWNUSDT,0.274,0.316,0.192,0.236,58938.5175
2021-01-12,BINANCE:XLMDOWNUSDT,0.24,0.25,0.178,0.187,25258.4736
2021-01-13,BINANCE:XLMDOWNUSDT,0.187,0.216,0.155,0.18,20689.9184
2021-01-14,BINANCE:XLMDOWNUSDT,0.18,0.2399,0.168,0.1858,13126.744
2021-01-15,BINANCE:XLMDOWNUSDT,0.1838,0.197,0.1432,0.1697,11524.6459
2021-01-16,BINANCE:XLMDOWNUSDT,0.1736,0.1772,0.133,0.1516,9236.447
2021-01-17,BINANCE:XLMDOWNUSDT,0.1503,0.1627,0.1461,0.1502,3672.1337
2021-01-18,BINANCE:XLMDOWNUSDT,0.1504,0.167,0.1341,0.161,4980.37
2021-01-19,BINANCE:XLMDOWNUSDT,0.1611,0.1876,0.1569,0.165,4706.4678
2021-01-20,BINANCE:XLMDOWNUSDT,0.1641,0.2322,0.1625,0.2141,3313.4668
2021-01-21,BINANCE:XLMDOWNUSDT,0.2163,0.27,0.1545,0.1691,4120.9603
2021-01-22,BINANCE:XLMDOWNUSDT,0.1718,0.1795,0.1575,0.1713,2988.6473
2021-01-23,BINANCE:XLMDOWNUSDT,0.1711,0.1821,0.1547,0.1695,1155.0454
2021-01-24,BINANCE:XLMDOWNUSDT,0.1691,0.1841,0.1617,0.183,905.3031
2021-01-25,BINANCE:XLMDOWNUSDT,0.185,0.199,0.179,0.182,2636.7973
2021-01-26,BINANCE:XLMDOWNUSDT,0.1829,0.232,0.1812,0.2138,1538.5017
2021-01-27,BINANCE:XLMDOWNUSDT,0.2146,0.2296,0.1111,0.121,9567.2494
2021-01-28,BINANCE:XLMDOWNUSDT,0.1206,0.1232,0.0567,0.0964,129811.9518
2021-01-29,BINANCE:XLMDOWNUSDT,0.0956,0.1063,0.0521,0.0663,57602.6344
2021-01-30,BINANCE:XLMDOWNUSDT,0.068,0.0824,0.062,0.0744,9701.5697
