,symbol,open,high,low,close,volume
2021-03-17,COINBASE:ADAUSD,1.6551,1.88,1.2155,1.23,112384.6409
2021-03-18,COINBASE:ADAUSD,1.2311,1.396,1.1808,1.3076,166658.5076
2021-03-19,COINBASE:ADAUSD,1.3065,1.345,1.2001,1.2013,121442.0305
2021-03-20,COINBASE:ADAUSD,1.2013,1.2463,1.1607,1.1885,55592.6431
2021-03-21,COINBASE:ADAUSD,1.1885,1.2076,1.07,1.1027,80249.9816
2021-03-22,COINBASE:ADAUSD,1.1027,1.1742,1.082,1.1178,63714.628
2021-03-23,COINBASE:ADAUSD,1.1175,1.1686,1.04,1.0674,60465.6859
2021-03-24,COINBASE:ADAUSD,1.0691,1.1547,1.0442,1.0963,74708.053
2021-03-25,COINBASE:ADAUSD,1.0963,1.2869,1.0944,1.2144,73745.7571
2021-03-26,COINBASE:ADAUSD,1.2149,1.2415,1.1575,1.1768,47923.7176
2021-03-27,COINBASE:ADAUSD,1.1775,1.2188,1.1666,1.1903,39099.1667
2021-03-28,COINBASE:ADAUSD,1.1904,1.2294,1.1777,1.2032,43471.6022
2021-03-29,COINBASE:ADAUSD,1.2032,1.2365,1.1888,1.2135,45176.6671
2021-03-30,COINBASE:ADAUSD,1.2135,1.2138,1.1526,1.1934,46011.3789
2021-03-31,COINBASE:ADAUSD,1.1926,1.2079,1.171,1.1842,36842.0532
2021-04-01,COINBASE:ADAUSD,1.1842,1.245,1.18,1.1908,45706.77
2021-04-02,COINBASE:ADAUSD,1.1908,1.2413,1.1605,1.1637,51681.6669
2021-04-03,COINBASE:ADAUSD,1.1639,1.1941,1.1521,1.1817,25801.7164
2021-04-04,COINBASE:ADAUSD,1.1823,1.2263,1.1608,1.2123,43263.8057
2021-04-05,COINBASE:ADAUSD,1.2124,1.3423,1.1913,1.2566,91644.9562
2021-04-06,COINBASE:ADAUSD,1.2578,1.2909,1.1601,1.1745,60930.1562
2021-04-07,COINBASE:ADAUSD,1.1745,1.2289,1.1703,1.2195,34901.0977
2021-04-08,COINBASE:ADAUSD,1.219,1.2299,1.1922,1.2027,36252.8902
2021-04-09,COINBASE:ADAUSD,1.2027,1.2516,1.195,1.2176,43156.6672
2021-04-10,COINBASE:ADAUSD,1.2182,1.29,1.1986,1.2647,60569.0618
2021-04-11,COINBASE:ADAUSD,1.2638,1.3476,1.2635,1.3153,81402.85
2021-04-12,COINBASE:ADAUSD,1.3153,1.4368,1.2828,1.414,104171.4091
2021-04-13,COINBASE:ADAUSD,1.414,1.5591,1.3495,1.4512,178796.472
2021-04-14,COINBASE:ADAUSD,1.4528,1.4975,1.4111,1.4803,86951.33
2021-04-15,COINBASE:ADAUSD,1.4806,1.5222,1.34,1.413,123840.3989
2021-04-16,COINBASE:ADAUSD,1.413,1.4599,1.36,1.3772,68299.9994
2021-04-17,COINBASE:ADAUSD,1.3773,1.3924,1.13,1.2804,162318.0504
2021-04-18,COINBASE:ADAUSD,1.2804,1.3277,1.17,1.1963,89753.0079
2021-04-19,COINBASE:ADAUSD,1.1968,1.2839,1.1239,1.2689,102388.4462
2021-04-20,COINBASE:ADAUSD,1.2685,1.289,1.1964,1.2042,74010.367
2021-04-21,COINBASE:ADAUSD,1.2048,1.28,1.12,1.1456,102691.5764
2021-04-22,COINBASE:ADAUSD,1.1456,1.1691,0.991,1.1599,192087.8248
