,symbol,open,high,low,close,volume
2021-03-10,COINBASE:SUSHIUSD,19.304,22.1,18.08,18.654,1183.6211
2021-03-11,COINBASE:SUSHIUSD,18.654,20.2,18.056,19.423,2174.0638
2021-03-12,COINBASE:SUSHIUSD,19.385,23.439,19.0,22.845,2451.4485
2021-03-13,COINBASE:SUSHIUSD,22.868,23.048,20.37,20.679,833.19
2021-03-14,COINBASE:SUSHIUSD,20.639,21.892,19.503,19.793,753.5322
2021-03-15,COINBASE:SUSHIUSD,19.908,20.683,18.65,20.237,598.5492
2021-03-16,COINBASE:SUSHIUSD,20.221,20.4,19.088,19.944,460.386
2021-03-17,COINBASE:SUSHIUSD,19.948,20.408,19.55,19.737,832.4474
2021-03-18,COINBASE:SUSHIUSD,19.737,20.632,18.951,20.266,707.8971
2021-03-19,COINBASE:SUSHIUSD,20.277,20.989,19.434,19.476,634.6149
2021-03-20,COINBASE:SUSHIUSD,19.459,19.732,18.422,18.865,576.9481
2021-03-21,COINBASE:SUSHIUSD,18.865,19.13,17.251,17.327,518.4952
2021-03-22,COINBASE:SUSHIUSD,17.349,17.787,16.334,16.415,599.2664
2021-03-23,COINBASE:SUSHIUSD,16.407,17.449,14.505,14.915,686.5426
2021-03-24,COINBASE:SUSHIUSD,14.912,15.36,14.09,14.826,796.2877
2021-03-25,COINBASE:SUSHIUSD,14.839,16.911,14.777,16.826,523.576
2021-03-26,COINBASE:SUSHIUSD,16.84,16.961,15.839,16.206,411.6751
2021-03-27,COINBASE:SUSHIUSD,16.221,16.524,14.864,15.267,613.4356
2021-03-28,COINBASE:SUSHIUSD,15.266,16.131,15.026,15.8,643.8174
2021-03-29,COINBASE:SUSHIUSD,15.817,15.975,15.265,15.433,597.4174
2021-03-30,COINBASE:SUSHIUSD,15.441,15.678,14.091,14.753,871.0235
2021-03-31,COINBASE:SUSHIUSD,14.717,15.242,14.5,14.87,743.6952
2021-04-01,COINBASE:SUSHIUSD,14.882,16.499,14.63,16.445,820.5449
2021-04-02,COINBASE:SUSHIUSD,16.444,16.574,14.6,14.837,841.1644
2021-04-03,COINBASE:SUSHIUSD,14.831,15.45,14.613,15.246,496.5028
2021-04-04,COINBASE:SUSHIUSD,15.245,15.658,14.701,15.096,522.1623
2021-04-05,COINBASE:SUSHIUSD,15.133,15.91,14.834,15.333,735.7609
2021-04-06,COINBASE:SUSHIUSD,15.355,15.48,13.467,13.849,667.1621
2021-04-07,COINBASE:SUSHIUSD,13.854,14.65,13.745,14.469,412.5352
2021-04-08,COINBASE:SUSHIUSD,14.448,15.372,14.338,14.513,855.4083
2021-04-09,COINBASE:SUSHIUSD,14.527,15.158,14.08,14.51,666.2954
2021-04-10,COINBASE:SUSHIUSD,14.486,14.556,13.968,14.174,413.033
2021-04-11,COINBASE:SUSHIUSD,14.174,16.383,13.9,16.06,1740.4208
2021-04-12,COINBASE:SUSHIUSD,16.043,16.44,15.306,15.866,737.3532
2021-04-13,COINBASE:SUSHIUSD,15.9,17.69,15.68,17.511,1430.617
2021-04-14,COINBASE:SUSHIUSD,17.516,18.334,17.174,17.599,704.4319
2021-04-15,COINBASE:SUSHIUSD,17.611,17.654,15.648,16.284,1091.0587
2021-04-16,COINBASE:SUSHIUSD,16.308,16.892,15.482,15.859,860.299
2021-04-17,COINBASE:SUSHIUSD,15.839,16.06,11.453,14.057,3220.1847
2021-04-18,COINBASE:SUSHIUSD,14.048,14.434,11.864,12.165,1874.9447
2021-04-19,COINBASE:SUSHIUSD,12.217,12.813,11.097,12.708,2234.3281
2021-04-20,COINBASE:SUSHIUSD,12.703,13.5,11.839,12.457,1464.8301
2021-04-21,COINBASE:SUSHIUSD,12.459,14.326,12.02,12.323,2077.5082
2021-04-22,COINBASE:SUSHIUSD,12.315,12.599,10.143,11.836,1973.6053
2021-04-23,COINBASE:SUSHIUSD,11.821,11.842,10.52,10.726,694.9741
2021-04-24,COINBASE:SUSHIUSD,10.717,11.665,10.328,10.995,763.7401
2021-04-25,COINBASE:SUSHIUSD,10.985,12.48,10.887,12.151,925.9376
2021-04-26,COINBASE:SUSHIUSD,12.136,14.469,11.951,14.308,1907.1201
2021-04-27,COINBASE:SUSHIUSD,14.305,14.625,12.967,14.304,1728.6495
2021-04-28,COINBASE:SUSHIUSD,14.306,14.889,13.595,14.044,1256.3879
2021-04-29,COINBASE:SUSHIUSD,14.052,14.702,13.762,14.344,569.5453
2021-04-30,COINBASE:SUSHIUSD,14.35,15.172,14.26,14.795,582.6303
2021-05-01,COINBASE:SUSHIUSD,14.821,14.867,13.757,13.914,678.095
2021-05-02,COINBASE:SUSHIUSD,13.904,14.867,13.9,14.411,1095.5552
2021-05-03,COINBASE:SUSHIUSD,14.429,14.49,12.6,12.666,1587.1001
2021-05-04,COINBASE:SUSHIUSD,12.672,14.49,12.535,14.384,981.57
2021-05-05,COINBASE:SUSHIUSD,14.384,16.99,14.0,16.512,3343.4732
2021-05-06,COINBASE:SUSHIUSD,16.524,17.81,15.365,15.81,2460.5071
2021-05-07,COINBASE:SUSHIUSD,15.813,16.835,15.487,16.348,1140.8445
2021-05-08,COINBASE:SUSHIUSD,16.353,16.522,15.223,15.554,1123.9846
2021-05-09,COINBASE:SUSHIUSD,15.547,16.7,13.0,13.85,1634.7066
2021-05-10,COINBASE:SUSHIUSD,13.838,15.339,13.386,15.269,1656.5917
2021-05-11,COINBASE:SUSHIUSD,15.289,18.409,14.285,14.821,4677.023
2021-05-12,COINBASE:SUSHIUSD,14.822,16.809,13.86,14.755,2692.7651
2021-05-13,COINBASE:SUSHIUSD,14.769,19.328,14.65,18.596,3498.1232
2021-05-14,COINBASE:SUSHIUSD,18.616,18.97,16.1,16.202,2400.1266
2021-05-15,COINBASE:SUSHIUSD,16.203,17.661,15.0,16.585,1928.8806
2021-05-16,COINBASE:SUSHIUSD,16.565,18.4,14.347,16.19,3439.9443
2021-05-17,COINBASE:SUSHIUSD,16.186,22.615,16.05,21.435,5664.1585
2021-05-18,COINBASE:SUSHIUSD,21.45,21.96,11.113,13.399,7100.2626
2021-05-19,COINBASE:SUSHIUSD,13.399,17.053,11.71,15.139,4121.1628
2021-05-20,COINBASE:SUSHIUSD,15.127,16.427,10.35,12.767,4387.2708
2021-05-21,COINBASE:SUSHIUSD,12.767,12.982,9.982,11.071,4480.4357
2021-05-22,COINBASE:SUSHIUSD,11.083,11.462,6.333,9.025,7701.8066
2021-05-23,COINBASE:SUSHIUSD,9.025,12.5,8.903,12.01,4971.915
2021-05-24,COINBASE:SUSHIUSD,11.995,12.665,9.615,12.231,4640.4957
