,symbol,open,high,low,close,volume
2018-12-24,COINBASE:BTCUSD,4034.0,4045.41,3675.86,3780.0,13.8717
2018-12-25,COINBASE:BTCUSD,3780.0,3849.2,3685.02,3809.88,9.3749
2018-12-26,COINBASE:BTCUSD,3809.88,3841.21,3567.0,3589.89,13.4332
2018-12-27,COINBASE:BTCUSD,3589.89,3971.58,3576.12,3888.06,16.7766
2018-12-28,COINBASE:BTCUSD,3887.58,3944.33,3706.0,3729.31,9.7766
2018-12-29,COINBASE:BTCUSD,3729.31,3863.06,3691.01,3829.0,8.7257
2018-12-30,COINBASE:BTCUSD,3829.0,3835.4,3625.0,3691.86,12.7953
2018-12-31,COINBASE:BTCUSD,3691.87,3841.17,3651.02,3826.1,10.8129
2019-01-01,COINBASE:BTCUSD,3826.1,3916.57,3770.07,3890.79,9.9823
2019-01-02,COINBASE:BTCUSD,3890.8,3893.8,3758.07,3787.57,9.3277
2019-01-03,COINBASE:BTCUSD,3787.57,3849.0,3730.0,3820.25,9.225
2019-01-04,COINBASE:BTCUSD,3820.82,3874.12,3775.0,3798.62,6.451
2019-01-05,COINBASE:BTCUSD,3799.99,4088.0,3756.01,4040.99,10.0573
2019-01-06,COINBASE:BTCUSD,4040.98,4070.0,3968.79,4006.01,9.9735
2019-01-07,COINBASE:BTCUSD,4005.97,4114.8,3943.36,3993.86,13.9595
2019-01-08,COINBASE:BTCUSD,3993.85,4042.2,3962.12,4004.12,10.7042
2019-01-09,COINBASE:BTCUSD,4004.13,4035.21,3560.0,3626.12,21.8693
2019-01-10,COINBASE:BTCUSD,3626.12,3699.99,3576.0,3635.69,14.4895
2019-01-11,COINBASE:BTCUSD,3634.73,3649.18,3557.29,3619.41,5.7936
2019-01-12,COINBASE:BTCUSD,3619.38,3641.86,3481.54,3514.24,8.2888
2019-01-13,COINBASE:BTCUSD,3514.24,3711.11,3509.24,3664.19,11.2414
2019-01-14,COINBASE:BTCUSD,3664.18,3684.38,3538.63,3580.76,10.8947
2019-01-15,COINBASE:BTCUSD,3580.19,3666.73,3572.52,3609.71,8.8947
2019-01-16,COINBASE:BTCUSD,3609.71,3657.0,3541.0,3640.65,8.9247
2019-01-17,COINBASE:BTCUSD,3640.64,3643.69,3580.16,3607.85,5.9774
2019-01-18,COINBASE:BTCUSD,3607.85,3765.9,3604.9,3682.65,6.0685
2019-01-19,COINBASE:BTCUSD,3683.5,3703.39,3481.01,3536.19,7.4297
2019-01-20,COINBASE:BTCUSD,3537.56,3568.95,3487.37,3531.76,6.4939
2019-01-21,COINBASE:BTCUSD,3531.75,3611.5,3425.0,3577.03,9.6586
2019-01-22,COINBASE:BTCUSD,3577.04,3614.47,3523.64,3553.01,8.204
2019-01-23,COINBASE:BTCUSD,3553.01,3595.83,3530.1,3568.97,5.827
2019-01-24,COINBASE:BTCUSD,3568.97,3578.79,3510.01,3562.17,6.834
2019-01-25,COINBASE:BTCUSD,3562.17,3657.76,3540.0,3556.07,5.6028
2019-01-26,COINBASE:BTCUSD,3556.07,3562.9,3470.14,3531.02,4.2864
2019-01-27,COINBASE:BTCUSD,3531.02,3535.92,3374.01,3429.95,13.7756
2019-01-28,COINBASE:BTCUSD,3429.95,3438.4,3337.87,3397.42,8.7097
2019-01-29,COINBASE:BTCUSD,3395.74,3459.41,3372.97,3437.55,8.5139
2019-01-30,COINBASE:BTCUSD,3437.55,3473.4,3396.74,3411.5,7.4053
2019-01-31,COINBASE:BTCUSD,3411.5,3458.26,3369.62,3437.5,8.7966
2019-02-01,COINBASE:BTCUSD,3437.5,3483.25,3414.49,3468.43,3.968
2019-02-02,COINBASE:BTCUSD,3468.43,3471.76,3386.45,3414.78,4.6067
2019-02-03,COINBASE:BTCUSD,3415.69,3435.0,3395.1,3409.57,6.0328
2019-02-04,COINBASE:BTCUSD,3409.57,3429.46,3400.0,3428.4,6.3854
2019-02-05,COINBASE:BTCUSD,3428.41,3441.0,3340.8,3367.36,9.8133
2019-02-06,COINBASE:BTCUSD,3366.0,3383.14,3352.01,3359.0,8.6138
2019-02-07,COINBASE:BTCUSD,3358.99,3711.0,3344.0,3621.99,17.6496
2019-02-08,COINBASE:BTCUSD,3622.0,3644.08,3597.0,3623.73,5.1556
2019-02-09,COINBASE:BTCUSD,3623.73,3654.28,3578.59,3648.84,5.3641
2019-02-10,COINBASE:BTCUSD,3648.85,3652.0,3579.38,3590.36,8.8192
2019-02-11,COINBASE:BTCUSD,3590.36,3618.77,3550.0,3588.06,8.3471
2019-02-12,COINBASE:BTCUSD,3588.06,3627.99,3562.98,3576.68,7.025
