,symbol,open,high,low,close,volume
2021-06-02,COINBASE:DOGEUSD,0.4875,0.4875,0.3779,0.4015,190111.7217
2021-06-03,COINBASE:DOGEUSD,0.4015,0.4039,0.35,0.3769,570165.1092
2021-06-04,COINBASE:DOGEUSD,0.3769,0.3948,0.3598,0.3718,221827.6481
2021-06-05,COINBASE:DOGEUSD,0.3718,0.3774,0.3669,0.3717,125063.3972
2021-06-06,COINBASE:DOGEUSD,0.3719,0.38,0.3274,0.3315,205450.2023
2021-06-07,COINBASE:DOGEUSD,0.3317,0.3422,0.2959,0.3264,287575.5095
2021-06-08,COINBASE:DOGEUSD,0.3264,0.3548,0.3125,0.3436,197780.8889
2021-06-09,COINBASE:DOGEUSD,0.3437,0.3455,0.3228,0.3261,144170.8353
2021-06-10,COINBASE:DOGEUSD,0.3262,0.3343,0.311,0.3189,132298.3721
2021-06-11,COINBASE:DOGEUSD,0.3189,0.3192,0.3011,0.3121,94733.927
2021-06-12,COINBASE:DOGEUSD,0.3123,0.3306,0.3077,0.3243,73923.7294
2021-06-13,COINBASE:DOGEUSD,0.3243,0.3377,0.3196,0.3276,93716.8653
2021-06-14,COINBASE:DOGEUSD,0.3277,0.3307,0.3165,0.3204,83817.6263
2021-06-15,COINBASE:DOGEUSD,0.3204,0.3213,0.3051,0.3077,82167.9839
2021-06-16,COINBASE:DOGEUSD,0.3078,0.3141,0.3028,0.3064,56537.9422
2021-06-17,COINBASE:DOGEUSD,0.3062,0.3078,0.2799,0.2934,176036.6094
2021-06-18,COINBASE:DOGEUSD,0.2935,0.298,0.2856,0.2856,57112.283
2021-06-19,COINBASE:DOGEUSD,0.2858,0.2896,0.255,0.2803,158647.3502
2021-06-20,COINBASE:DOGEUSD,0.2803,0.2811,0.1643,0.1788,791736.9653
2021-06-21,COINBASE:DOGEUSD,0.1787,0.2175,0.1633,0.1909,794426.5994
2021-06-22,COINBASE:DOGEUSD,0.1909,0.2495,0.1805,0.2349,564383.6694
2021-06-23,COINBASE:DOGEUSD,0.2349,0.27,0.2218,0.264,351286.8057
2021-06-24,COINBASE:DOGEUSD,0.264,0.29,0.2285,0.2375,645832.6941
2021-06-25,COINBASE:DOGEUSD,0.2374,0.2557,0.2306,0.2459,208364.3176
2021-06-26,COINBASE:DOGEUSD,0.2458,0.2677,0.2403,0.2647,180482.5664
2021-06-27,COINBASE:DOGEUSD,0.2646,0.2669,0.2506,0.2572,171045.0513
2021-06-28,COINBASE:DOGEUSD,0.2571,0.2758,0.2527,0.2636,195143.2021
