,symbol,open,high,low,close,volume
2018-12-24,COINBASE:ETCUSD,5.1,5.11,4.45,4.69,251.9298
2018-12-25,COINBASE:ETCUSD,4.69,5.53,4.64,5.45,422.3186
2018-12-26,COINBASE:ETCUSD,5.46,5.71,4.64,4.75,569.2015
2018-12-27,COINBASE:ETCUSD,4.75,5.44,4.65,5.23,269.047
2018-12-28,COINBASE:ETCUSD,5.23,5.4,4.99,5.09,185.9138
2018-12-29,COINBASE:ETCUSD,5.07,5.31,4.98,5.25,114.4921
2018-12-30,COINBASE:ETCUSD,5.25,5.28,4.88,4.97,138.3555
2018-12-31,COINBASE:ETCUSD,4.98,5.25,4.93,5.25,165.3735
2019-01-01,COINBASE:ETCUSD,5.25,5.42,5.16,5.35,188.0779
2019-01-02,COINBASE:ETCUSD,5.35,5.37,4.98,5.03,178.2799
2019-01-03,COINBASE:ETCUSD,5.03,5.3,4.99,5.22,146.1541
2019-01-04,COINBASE:ETCUSD,5.23,5.29,5.08,5.11,97.3012
2019-01-05,COINBASE:ETCUSD,5.1,5.55,5.06,5.45,214.3343
2019-01-06,COINBASE:ETCUSD,5.46,5.46,4.87,5.01,263.997
2019-01-07,COINBASE:ETCUSD,5.01,5.08,4.86,4.97,209.0701
2019-01-08,COINBASE:ETCUSD,4.97,5.04,4.92,4.97,119.8348
2019-01-09,COINBASE:ETCUSD,4.97,5.03,4.29,4.57,196.5906
2019-01-10,COINBASE:ETCUSD,4.57,4.89,4.35,4.63,110.4795
2019-01-11,COINBASE:ETCUSD,4.62,4.84,4.42,4.57,80.3049
2019-01-12,COINBASE:ETCUSD,4.56,4.66,4.3,4.35,62.1959
2019-01-13,COINBASE:ETCUSD,4.35,4.62,4.3,4.5,67.0149
2019-01-14,COINBASE:ETCUSD,4.49,4.59,4.3,4.4,52.7279
2019-01-15,COINBASE:ETCUSD,4.4,4.58,4.4,4.46,36.2684
2019-01-16,COINBASE:ETCUSD,4.46,4.55,4.43,4.49,29.8635
2019-01-17,COINBASE:ETCUSD,4.5,4.5,4.42,4.45,26.5294
2019-01-18,COINBASE:ETCUSD,4.46,4.59,4.44,4.46,34.9164
2019-01-19,COINBASE:ETCUSD,4.46,4.5,4.32,4.39,38.5493
2019-01-20,COINBASE:ETCUSD,4.4,4.44,4.32,4.37,26.1352
2019-01-21,COINBASE:ETCUSD,4.38,4.46,4.3,4.39,42.0279
2019-01-22,COINBASE:ETCUSD,4.4,4.5,4.34,4.35,43.9249
2019-01-23,COINBASE:ETCUSD,4.35,4.4,4.34,4.39,29.0382
2019-01-24,COINBASE:ETCUSD,4.39,4.39,4.33,4.36,34.8799
2019-01-25,COINBASE:ETCUSD,4.35,4.4,4.31,4.36,38.1574
2019-01-26,COINBASE:ETCUSD,4.35,4.36,4.32,4.32,21.8108
2019-01-27,COINBASE:ETCUSD,4.31,4.32,3.79,3.96,237.6564
2019-01-28,COINBASE:ETCUSD,3.96,4.07,3.88,3.89,66.0299
2019-01-29,COINBASE:ETCUSD,3.88,4.01,3.84,3.95,104.524
2019-01-30,COINBASE:ETCUSD,3.95,4.03,3.87,3.9,57.1292
2019-01-31,COINBASE:ETCUSD,3.91,3.93,3.82,3.89,51.9864
2019-02-01,COINBASE:ETCUSD,3.89,3.95,3.85,3.95,35.948
2019-02-02,COINBASE:ETCUSD,3.95,3.95,3.82,3.85,43.5379
2019-02-03,COINBASE:ETCUSD,3.84,3.87,3.82,3.83,28.853
2019-02-04,COINBASE:ETCUSD,3.82,3.85,3.81,3.84,29.9004
2019-02-05,COINBASE:ETCUSD,3.84,3.84,3.63,3.7,90.812
2019-02-06,COINBASE:ETCUSD,3.71,3.83,3.7,3.79,39.0677
2019-02-07,COINBASE:ETCUSD,3.8,4.24,3.79,4.08,157.3316
2019-02-08,COINBASE:ETCUSD,4.09,4.11,3.98,4.06,62.9813
2019-02-09,COINBASE:ETCUSD,4.05,4.17,3.97,4.16,58.6802
2019-02-10,COINBASE:ETCUSD,4.16,4.16,3.97,4.02,63.3246
2019-02-11,COINBASE:ETCUSD,4.03,4.15,3.98,4.06,69.803
2019-02-12,COINBASE:ETCUSD,4.06,4.13,4.03,4.08,30.5762
2019-02-13,COINBASE:ETCUSD,4.08,4.14,4.02,4.1,40.727
2019-02-14,COINBASE:ETCUSD,4.11,4.2,4.04,4.07,53.4972
2019-02-15,COINBASE:ETCUSD,4.07,4.21,4.07,4.12,37.5483
2019-02-16,COINBASE:ETCUSD,4.12,4.17,4.06,4.16,65.9574
2019-02-17,COINBASE:ETCUSD,4.17,4.46,4.13,4.38,176.3754
2019-02-18,COINBASE:ETCUSD,4.37,4.83,4.37,4.57,196.5043
2019-02-19,COINBASE:ETCUSD,4.57,4.75,4.44,4.64,106.844
2019-02-20,COINBASE:ETCUSD,4.64,4.65,4.4,4.47,73.2109
2019-02-21,COINBASE:ETCUSD,4.47,4.77,4.46,4.69,95.3338
2019-02-22,COINBASE:ETCUSD,4.68,4.88,4.6,4.85,117.4623
2019-02-23,COINBASE:ETCUSD,4.85,5.08,4.46,4.74,182.5519
2019-02-24,COINBASE:ETCUSD,4.73,4.85,4.56,4.63,50.3021
2019-02-25,COINBASE:ETCUSD,4.63,4.7,4.54,4.63,33.636
2019-02-26,COINBASE:ETCUSD,4.62,4.67,4.48,4.58,34.0421
2019-02-27,COINBASE:ETCUSD,4.58,4.7,4.52,4.55,29.9834
2019-02-28,COINBASE:ETCUSD,4.56,4.64,4.51,4.58,35.0311
2019-03-01,COINBASE:ETCUSD,4.57,4.61,4.51,4.53,21.6619
2019-03-02,COINBASE:ETCUSD,4.54,4.59,4.46,4.5,22.8206
2019-03-03,COINBASE:ETCUSD,4.5,4.53,4.28,4.33,42.4973
2019-03-04,COINBASE:ETCUSD,4.32,4.61,4.32,4.4,55.3248
2019-03-05,COINBASE:ETCUSD,4.4,4.59,4.36,4.52,49.2563
2019-03-06,COINBASE:ETCUSD,4.53,4.56,4.38,4.45,48.9802
2019-03-07,COINBASE:ETCUSD,4.45,4.54,4.36,4.45,53.3352
2019-03-08,COINBASE:ETCUSD,4.45,4.6,4.4,4.5,35.4004
2019-03-09,COINBASE:ETCUSD,4.5,4.52,4.22,4.39,80.8848
2019-03-10,COINBASE:ETCUSD,4.38,4.46,4.27,4.36,55.0441
2019-03-11,COINBASE:ETCUSD,4.36,4.37,4.21,4.25,85.9114
2019-03-12,COINBASE:ETCUSD,4.25,4.27,4.16,4.19,45.187
2019-03-13,COINBASE:ETCUSD,4.19,4.32,4.16,4.26,87.949
2019-03-14,COINBASE:ETCUSD,4.26,4.41,4.26,4.38,64.5551
2019-03-15,COINBASE:ETCUSD,4.38,4.59,4.38,4.48,132.9412
2019-03-16,COINBASE:ETCUSD,4.48,4.48,4.35,4.41,60.4695
2019-03-17,COINBASE:ETCUSD,4.41,4.47,4.3,4.38,75.6048
2019-03-18,COINBASE:ETCUSD,4.37,4.62,4.34,4.59,159.9292
2019-03-19,COINBASE:ETCUSD,4.59,4.69,4.46,4.64,111.403
2019-03-20,COINBASE:ETCUSD,4.63,4.87,4.46,4.73,365.7472
2019-03-21,COINBASE:ETCUSD,4.74,4.96,4.73,4.85,166.759
2019-03-22,COINBASE:ETCUSD,4.84,4.87,4.77,4.849,52.1501
2019-03-23,COINBASE:ETCUSD,4.842,4.85,4.72,4.8,44.2165
2019-03-24,COINBASE:ETCUSD,4.809,4.809,4.56,4.66,77.9022
2019-03-25,COINBASE:ETCUSD,4.667,4.68,4.551,4.63,68.3841
2019-03-26,COINBASE:ETCUSD,4.63,4.81,4.62,4.79,84.2508
2019-03-27,COINBASE:ETCUSD,4.789,4.789,4.683,4.694,46.0654
2019-03-28,COINBASE:ETCUSD,4.694,4.95,4.69,4.86,116.8055
2019-03-29,COINBASE:ETCUSD,4.86,4.9,4.703,4.774,71.1234
2019-03-30,COINBASE:ETCUSD,4.77,4.829,4.74,4.82,30.522
2019-03-31,COINBASE:ETCUSD,4.811,4.839,4.76,4.802,85.6223
2019-04-01,COINBASE:ETCUSD,4.802,5.494,4.781,5.49,628.3444
2019-04-02,COINBASE:ETCUSD,5.49,6.22,5.076,5.44,852.5218
2019-04-03,COINBASE:ETCUSD,5.45,5.64,5.21,5.34,206.8352
2019-04-04,COINBASE:ETCUSD,5.35,5.94,5.34,5.758,286.2734
2019-04-05,COINBASE:ETCUSD,5.758,6.099,5.509,6.0,255.7759
2019-04-06,COINBASE:ETCUSD,6.0,14.0,5.983,8.8,1804.7571
2019-04-07,COINBASE:ETCUSD,8.769,9.15,6.832,7.29,1218.4056
2019-04-08,COINBASE:ETCUSD,7.286,7.4,6.83,7.027,406.0967
2019-04-09,COINBASE:ETCUSD,7.027,7.26,6.893,7.093,366.3532
2019-04-10,COINBASE:ETCUSD,7.094,7.095,6.01,6.287,479.1599
2019-04-11,COINBASE:ETCUSD,6.297,6.567,5.932,6.39,310.0925
2019-04-12,COINBASE:ETCUSD,6.39,6.55,6.248,6.33,164.1681
2019-04-13,COINBASE:ETCUSD,6.329,6.48,6.162,6.458,142.4622
2019-04-14,COINBASE:ETCUSD,6.458,6.6,5.937,6.168,413.3424
2019-04-15,COINBASE:ETCUSD,6.156,6.313,6.04,6.282,209.2803
2019-04-16,COINBASE:ETCUSD,6.28,6.35,6.15,6.21,202.4863
2019-04-17,COINBASE:ETCUSD,6.21,6.4,6.196,6.34,223.8854
