,symbol,open,high,low,close,volume
2018-12-24,COINBASE:ETHUSD,139.02,140.26,122.15,128.82,369.7716
2018-12-25,COINBASE:ETHUSD,128.83,136.72,123.54,130.47,208.0953
2018-12-26,COINBASE:ETHUSD,130.47,131.78,112.26,114.63,283.1025
2018-12-27,COINBASE:ETHUSD,114.53,138.58,113.31,136.82,332.5874
2018-12-28,COINBASE:ETHUSD,136.81,147.3,131.72,134.15,261.5654
2018-12-29,COINBASE:ETHUSD,134.36,140.64,128.3,138.78,214.9251
2018-12-30,COINBASE:ETHUSD,138.83,138.9,128.5,130.53,171.8631
2018-12-31,COINBASE:ETHUSD,130.66,140.9,129.55,139.75,157.6277
2019-01-01,COINBASE:ETHUSD,139.76,156.69,138.75,153.5,238.3268
2019-01-02,COINBASE:ETHUSD,153.5,154.44,144.49,147.23,197.1226
2019-01-03,COINBASE:ETHUSD,147.23,155.51,145.14,153.24,220.5126
2019-01-04,COINBASE:ETHUSD,153.24,160.62,152.5,154.21,213.6863
2019-01-05,COINBASE:ETHUSD,154.21,159.58,148.5,155.92,173.439
2019-01-06,COINBASE:ETHUSD,155.91,157.15,148.59,150.62,145.18
2019-01-07,COINBASE:ETHUSD,150.57,152.9,146.71,148.97,123.7245
2019-01-08,COINBASE:ETHUSD,149.1,152.88,148.36,149.5,94.9531
2019-01-09,COINBASE:ETHUSD,149.49,150.9,122.15,126.41,346.6272
2019-01-10,COINBASE:ETHUSD,126.42,128.84,121.74,125.83,161.5224
2019-01-11,COINBASE:ETHUSD,125.83,127.28,123.4,124.59,88.963
2019-01-12,COINBASE:ETHUSD,124.57,125.21,113.5,115.58,144.9021
2019-01-13,COINBASE:ETHUSD,115.61,132.38,115.34,128.37,203.5747
2019-01-14,COINBASE:ETHUSD,128.36,130.61,116.91,120.0,201.8341
2019-01-15,COINBASE:ETHUSD,120.01,127.6,119.0,122.12,148.9073
2019-01-16,COINBASE:ETHUSD,122.19,123.83,117.12,122.55,117.9909
2019-01-17,COINBASE:ETHUSD,122.53,122.88,118.18,119.53,65.9489
2019-01-18,COINBASE:ETHUSD,119.54,126.3,119.54,123.17,90.9288
2019-01-19,COINBASE:ETHUSD,123.2,123.7,115.51,117.43,96.8552
2019-01-20,COINBASE:ETHUSD,117.44,118.02,113.68,115.86,84.2833
2019-01-21,COINBASE:ETHUSD,115.86,119.5,110.37,118.08,124.9508
2019-01-22,COINBASE:ETHUSD,118.08,118.9,115.02,116.55,61.0005
2019-01-23,COINBASE:ETHUSD,116.56,117.11,113.62,116.4,59.3678
2019-01-24,COINBASE:ETHUSD,116.4,117.09,114.04,114.95,77.8212
2019-01-25,COINBASE:ETHUSD,114.95,117.47,114.78,115.01,43.6214
2019-01-26,COINBASE:ETHUSD,115.01,115.45,110.3,111.35,70.7993
2019-01-27,COINBASE:ETHUSD,111.35,112.1,100.9,105.47,175.7384
2019-01-28,COINBASE:ETHUSD,105.44,105.98,102.16,104.02,77.501
2019-01-29,COINBASE:ETHUSD,104.01,109.45,102.9,107.61,111.4432
2019-01-30,COINBASE:ETHUSD,107.61,109.97,104.83,105.79,85.581
2019-01-31,COINBASE:ETHUSD,105.79,107.69,103.0,105.88,88.49
2019-02-01,COINBASE:ETHUSD,105.85,109.98,105.16,109.3,58.8433
2019-02-02,COINBASE:ETHUSD,109.3,110.0,104.52,105.94,65.9457
2019-02-03,COINBASE:ETHUSD,105.98,107.85,105.29,106.08,45.7812
2019-02-04,COINBASE:ETHUSD,106.04,106.5,105.08,106.0,41.04
2019-02-05,COINBASE:ETHUSD,106.02,106.31,100.15,103.36,106.5169
2019-02-06,COINBASE:ETHUSD,103.32,104.77,102.75,103.21,47.9159
2019-02-07,COINBASE:ETHUSD,103.22,122.0,102.29,117.96,232.5026
2019-02-08,COINBASE:ETHUSD,117.96,119.77,116.55,118.06,67.742
2019-02-09,COINBASE:ETHUSD,118.06,125.28,115.04,123.94,93.4435
2019-02-10,COINBASE:ETHUSD,123.93,124.11,118.24,119.55,126.3542
2019-02-11,COINBASE:ETHUSD,119.57,122.35,117.0,120.82,104.4019
2019-02-12,COINBASE:ETHUSD,120.81,125.0,119.51,120.74,91.2307
2019-02-13,COINBASE:ETHUSD,120.74,123.22,118.73,119.39,74.313
2019-02-14,COINBASE:ETHUSD,119.39,123.57,119.13,120.42,62.0366
2019-02-15,COINBASE:ETHUSD,120.42,123.6,120.42,121.56,37.3969
2019-02-16,COINBASE:ETHUSD,121.55,134.14,121.38,132.34,189.2868
2019-02-17,COINBASE:ETHUSD,132.33,147.8,131.05,144.62,324.8381
2019-02-18,COINBASE:ETHUSD,144.58,149.47,142.46,142.69,174.939
2019-02-19,COINBASE:ETHUSD,142.71,148.4,138.16,147.19,142.4327
2019-02-20,COINBASE:ETHUSD,147.16,148.6,141.76,144.21,114.5941
2019-02-21,COINBASE:ETHUSD,144.19,147.5,142.26,146.68,82.9087
2019-02-22,COINBASE:ETHUSD,146.67,159.91,144.89,157.56,169.4191
2019-02-23,COINBASE:ETHUSD,157.55,165.62,131.0,131.76,348.192
2019-02-24,COINBASE:ETHUSD,131.88,141.09,130.61,137.64,165.2533
2019-02-25,COINBASE:ETHUSD,137.63,140.63,133.03,135.66,94.6117
2019-02-26,COINBASE:ETHUSD,135.74,140.0,125.7,134.46,149.1324
2019-02-27,COINBASE:ETHUSD,134.36,139.0,131.66,134.48,118.0305
2019-02-28,COINBASE:ETHUSD,134.48,137.53,133.52,134.72,90.3829
2019-03-01,COINBASE:ETHUSD,134.71,135.39,128.85,132.32,73.8905
2019-03-02,COINBASE:ETHUSD,132.31,134.41,127.49,129.78,56.7614
2019-03-03,COINBASE:ETHUSD,129.79,130.22,122.75,125.24,145.8809
2019-03-04,COINBASE:ETHUSD,125.24,137.49,124.78,136.3,126.4796
2019-03-05,COINBASE:ETHUSD,136.3,140.0,129.4,137.0,132.7352
2019-03-06,COINBASE:ETHUSD,137.0,139.68,134.84,136.29,78.1487
2019-03-07,COINBASE:ETHUSD,136.25,138.6,130.13,132.75,109.0515
2019-03-08,COINBASE:ETHUSD,132.75,138.01,132.09,136.41,72.2114
2019-03-09,COINBASE:ETHUSD,136.41,136.73,133.42,134.66,39.4852
2019-03-10,COINBASE:ETHUSD,134.67,135.37,130.57,132.05,60.8429
2019-03-11,COINBASE:ETHUSD,132.05,134.3,127.19,132.8,109.7865
2019-03-12,COINBASE:ETHUSD,132.81,132.94,130.2,131.16,46.0325
2019-03-13,COINBASE:ETHUSD,131.14,135.09,128.9,131.4,50.5609
2019-03-14,COINBASE:ETHUSD,131.4,136.91,131.4,135.99,91.9594
2019-03-15,COINBASE:ETHUSD,135.99,147.23,135.98,140.48,146.8713
