,symbol,open,high,low,close,volume
2018-12-24,COINBASE:LTCUSD,32.98,33.05,29.66,30.77,307.9888
2018-12-25,COINBASE:LTCUSD,30.76,31.89,28.87,30.52,264.1488
2018-12-26,COINBASE:LTCUSD,30.52,31.09,27.48,27.72,229.1228
2018-12-27,COINBASE:LTCUSD,27.72,33.53,27.72,32.22,321.602
2018-12-28,COINBASE:LTCUSD,32.21,33.24,30.3,30.63,217.2441
2018-12-29,COINBASE:LTCUSD,30.62,31.95,29.95,31.56,159.5426
2018-12-30,COINBASE:LTCUSD,31.56,31.62,29.42,29.78,180.0877
2018-12-31,COINBASE:LTCUSD,29.78,31.96,29.11,31.68,163.8412
2019-01-01,COINBASE:LTCUSD,31.68,33.64,31.33,32.94,149.3536
2019-01-02,COINBASE:LTCUSD,32.93,33.1,31.0,31.6,116.3861
2019-01-03,COINBASE:LTCUSD,31.6,32.64,31.01,32.02,140.5209
2019-01-04,COINBASE:LTCUSD,32.02,36.11,32.01,34.48,352.631
2019-01-05,COINBASE:LTCUSD,34.48,40.12,34.06,38.88,459.2495
2019-01-06,COINBASE:LTCUSD,38.88,39.48,37.21,37.71,239.6806
2019-01-07,COINBASE:LTCUSD,37.66,41.27,37.52,39.13,370.5474
2019-01-08,COINBASE:LTCUSD,39.13,40.03,38.31,38.58,168.0607
2019-01-09,COINBASE:LTCUSD,38.58,39.25,31.91,33.27,468.5089
2019-01-10,COINBASE:LTCUSD,33.27,33.71,30.43,31.79,254.5596
2019-01-11,COINBASE:LTCUSD,31.78,32.61,31.5,32.04,112.8505
2019-01-12,COINBASE:LTCUSD,32.04,32.88,29.51,29.92,254.4412
2019-01-13,COINBASE:LTCUSD,29.91,32.96,29.8,32.07,186.9379
2019-01-14,COINBASE:LTCUSD,32.08,32.48,30.11,30.99,181.1715
2019-01-15,COINBASE:LTCUSD,30.99,32.15,30.69,31.4,103.4548
2019-01-16,COINBASE:LTCUSD,31.43,31.73,29.98,31.62,164.2257
2019-01-17,COINBASE:LTCUSD,31.62,31.7,30.55,30.96,81.9345
2019-01-18,COINBASE:LTCUSD,30.95,33.15,30.95,32.22,115.5301
2019-01-19,COINBASE:LTCUSD,32.22,33.08,30.2,30.61,162.1115
2019-01-20,COINBASE:LTCUSD,30.61,31.37,30.38,30.82,87.7935
2019-01-21,COINBASE:LTCUSD,30.83,32.01,29.41,31.48,179.7211
2019-01-22,COINBASE:LTCUSD,31.47,32.2,31.31,31.6,99.8199
2019-01-23,COINBASE:LTCUSD,31.6,33.13,31.08,32.47,139.318
2019-01-24,COINBASE:LTCUSD,32.47,32.95,31.84,32.73,147.9889
2019-01-25,COINBASE:LTCUSD,32.73,34.0,32.51,32.64,146.0893
2019-01-26,COINBASE:LTCUSD,32.63,32.9,31.06,32.02,101.4854
2019-01-27,COINBASE:LTCUSD,32.02,32.27,29.81,30.96,198.307
2019-01-28,COINBASE:LTCUSD,30.97,31.21,29.86,30.69,89.3503
2019-01-29,COINBASE:LTCUSD,30.69,31.75,30.42,31.53,112.8741
2019-01-30,COINBASE:LTCUSD,31.53,32.22,30.82,31.24,98.6598
2019-01-31,COINBASE:LTCUSD,31.25,33.21,30.57,32.37,190.7251
2019-02-01,COINBASE:LTCUSD,32.34,34.66,32.19,34.18,153.2144
2019-02-02,COINBASE:LTCUSD,34.18,34.58,32.47,32.87,186.8165
2019-02-03,COINBASE:LTCUSD,32.88,34.15,32.87,33.64,116.896
2019-02-04,COINBASE:LTCUSD,33.65,34.15,33.26,33.95,92.0039
2019-02-05,COINBASE:LTCUSD,33.95,34.1,31.95,32.47,166.0976
2019-02-06,COINBASE:LTCUSD,32.48,33.19,32.41,32.85,74.7609
