,symbol,COMP open,COMP high,COMP low,COMP close,COMP volume(M),symbol,SUSHI open,SUSHI high,SUSHI low,SUSHI close,SUSHI volume(M),symbol,LTC open,LTC high,LTC low,LTC close,LTC volume(M),symbol,ETC open,ETC high,ETC low,ETC close,ETC volume(M),symbol,DOGE open,DOGE high,DOGE low,DOGE close,DOGE volume(M),symbol,STORJ open,STORJ high,STORJ low,STORJ close,STORJ volume(M),symbol,ADA open,ADA high,ADA low,ADA close,ADA volume(M),symbol,BTC open,BTC high,BTC low,BTC close,BTC volume(M),symbol,ETH open,ETH high,ETH low,ETH close,ETH volume(M),symbol,SOL open,SOL high,SOL low,SOL close,SOL volume(M),symbol,UNI open,UNI high,UNI low,UNI close,UNI volume(M)
2021-06-16,COINBASE:COMPUSD,305.45,323.88,296.81,306.64,11.3123,COINBASE:SUSHIUSD,8.496,9.116,8.208,8.466,1092.8475,COINBASE:LTCUSD,166.58,173.4,162.88,167.18,185.4368,COINBASE:ETCUSD,55.343,57.222,54.268,55.493,160.9573,COINBASE:DOGEUSD,0.3078,0.3141,0.3028,0.3064,56537.9422,COINBASE:STORJUSD,0.9047,0.9334,0.8748,0.8922,1554.6896,COINBASE:ADAUSD,1.485,1.5389,1.4562,1.4824,38147.3769,COINBASE:BTCUSD,38351.0,39554.98,37365.63,38095.17,15.9704,COINBASE:ETHUSD,2368.24,2459.53,2306.35,2373.33,153.6293,COINBASE:SOLUSD,40.5,40.5,38.219,39.25,202.1117,COINBASE:UNIUSD,21.8008,22.9356,21.42,22.1783,335.582
2021-06-17,COINBASE:COMPUSD,306.76,308.83,265.29,279.09,17.164,COINBASE:SUSHIUSD,8.461,8.493,7.561,7.839,878.3307,COINBASE:LTCUSD,167.18,167.39,151.11,156.41,283.5313,COINBASE:ETCUSD,55.493,55.493,50.521,52.524,253.698,COINBASE:DOGEUSD,0.3062,0.3078,0.2799,0.2934,176036.6094,COINBASE:STORJUSD,0.8912,0.8963,0.8014,0.8353,1658.6474,COINBASE:ADAUSD,1.4824,1.492,1.3751,1.4169,56431.542,COINBASE:BTCUSD,38103.94,38216.22,35153.16,35841.81,23.4724,COINBASE:ETHUSD,2373.33,2377.8,2125.12,2234.47,273.3282,COINBASE:SOLUSD,39.321,39.45,35.0,36.842,471.3617,COINBASE:UNIUSD,22.1731,22.2584,19.5645,20.3982,454.7785
2021-06-18,COINBASE:COMPUSD,279.16,287.45,271.62,272.88,9.05,COINBASE:SUSHIUSD,7.838,7.99,7.463,7.478,459.5471,COINBASE:LTCUSD,156.44,160.88,152.36,152.53,157.0266,COINBASE:ETCUSD,52.479,53.342,50.872,50.902,116.1358,COINBASE:DOGEUSD,0.2935,0.298,0.2856,0.2856,57112.283,COINBASE:STORJUSD,0.8345,0.8871,0.8047,0.8246,2074.0271,COINBASE:ADAUSD,1.4169,1.4422,1.3843,1.3844,27690.5554,COINBASE:BTCUSD,35840.96,36457.18,34833.26,35484.79,16.8011,COINBASE:ETHUSD,2234.8,2279.0,2162.72,2164.72,162.8289,COINBASE:SOLUSD,36.875,37.361,34.977,35.2,263.0026,COINBASE:UNIUSD,20.399,20.9804,19.77,19.77,233.0696
2021-06-19,COINBASE:COMPUSD,272.88,299.67,260.02,293.56,18.7353,COINBASE:SUSHIUSD,7.476,8.647,7.322,8.419,1942.3823,COINBASE:LTCUSD,152.58,156.2,143.81,154.87,226.4914,COINBASE:ETCUSD,50.936,51.5,46.963,50.993,249.8103,COINBASE:DOGEUSD,0.2858,0.2896,0.255,0.2803,158647.3502,COINBASE:STORJUSD,0.8249,0.8648,0.775,0.8229,2468.9242,COINBASE:ADAUSD,1.3848,1.4593,1.3062,1.4252,52741.5154,COINBASE:BTCUSD,35484.8,36139.73,33347.05,35585.78,19.4001,COINBASE:ETHUSD,2165.13,2275.78,2042.5,2242.9,231.8719,COINBASE:SOLUSD,35.2,35.954,31.324,35.271,287.189,COINBASE:UNIUSD,19.7718,21.0092,18.6387,20.6957,450.6525
2021-06-20,COINBASE:COMPUSD,293.64,295.74,220.88,221.6,31.6304,COINBASE:SUSHIUSD,8.424,8.518,6.595,6.633,3951.3064,COINBASE:LTCUSD,154.88,155.45,124.02,124.45,557.7379,COINBASE:ETCUSD,50.994,51.407,38.52,39.487,715.8843,COINBASE:DOGEUSD,0.2803,0.2811,0.1643,0.1788,791736.9653,COINBASE:STORJUSD,0.8218,0.83,0.6191,0.622,4482.5649,COINBASE:ADAUSD,1.4255,1.4364,1.162,1.1734,136822.8771,COINBASE:BTCUSD,35585.79,35741.54,31259.0,31609.82,41.3044,COINBASE:ETHUSD,2242.89,2259.1,1864.5,1885.67,598.6548,COINBASE:SOLUSD,35.286,35.532,26.0,26.625,836.3744,COINBASE:UNIUSD,20.7063,20.8625,15.752,15.7983,1477.2748
2021-06-21,COINBASE:COMPUSD,221.97,247.82,196.48,234.49,47.2881,COINBASE:SUSHIUSD,6.626,7.555,5.969,6.813,4095.3409,COINBASE:LTCUSD,124.4,133.02,105.0,119.83,839.8303,COINBASE:ETCUSD,39.477,42.8,32.179,36.625,1116.0193,COINBASE:DOGEUSD,0.1787,0.2175,0.1633,0.1909,794426.5994,COINBASE:STORJUSD,0.6219,0.6694,0.5058,0.5765,6614.8366,COINBASE:ADAUSD,1.1742,1.2678,1.0009,1.1586,256337.1843,COINBASE:BTCUSD,31609.82,33352.0,28800.0,32538.37,48.3883,COINBASE:ETHUSD,1885.49,1996.67,1700.0,1881.65,620.1617,COINBASE:SOLUSD,26.631,28.773,20.181,26.982,1438.7373,COINBASE:UNIUSD,15.7928,17.1283,13.9048,16.4223,2254.3721
2021-06-22,COINBASE:COMPUSD,235.08,271.13,225.7,242.01,31.901,COINBASE:SUSHIUSD,6.797,7.533,6.509,7.057,1631.7697,COINBASE:LTCUSD,119.78,133.76,115.55,129.2,413.1147,COINBASE:ETCUSD,36.581,43.042,34.66,40.79,463.3547,COINBASE:DOGEUSD,0.1909,0.2495,0.1805,0.2349,564383.6694,COINBASE:STORJUSD,0.5788,0.6902,0.5544,0.66,5805.0979,COINBASE:ADAUSD,1.1584,1.31,1.1088,1.2508,98816.7043,COINBASE:BTCUSD,32538.9,34881.02,31708.03,33688.35,23.1248,COINBASE:ETHUSD,1881.24,2045.0,1823.97,1968.37,287.2171,COINBASE:SOLUSD,26.979,32.957,25.682,30.838,1145.607,COINBASE:UNIUSD,16.4035,18.4992,15.7954,17.8106,1026.5702
2021-06-23,COINBASE:COMPUSD,241.98,260.16,227.4,256.33,23.6872,COINBASE:SUSHIUSD,7.057,7.346,6.624,7.08,916.4615,COINBASE:LTCUSD,129.22,137.4,123.77,134.53,242.3597,COINBASE:ETCUSD,40.756,43.585,38.788,43.171,310.3258,COINBASE:DOGEUSD,0.2349,0.27,0.2218,0.264,351286.8057,COINBASE:STORJUSD,0.6591,0.6882,0.6132,0.68,2229.2019,COINBASE:ADAUSD,1.2513,1.3998,1.201,1.3602,81898.7372,COINBASE:BTCUSD,33688.51,35295.67,32300.0,34654.58,16.869,COINBASE:ETHUSD,1968.36,2035.39,1884.77,1988.81,208.6236,COINBASE:SOLUSD,30.851,33.0,28.477,31.187,883.0309,COINBASE:UNIUSD,17.8174,18.5578,16.6137,18.1004,539.3562
2021-06-24,COINBASE:COMPUSD,256.32,260.82,221.0,222.0,29.2418,COINBASE:SUSHIUSD,7.081,7.198,6.151,6.3,1150.499,COINBASE:LTCUSD,134.54,138.45,124.34,125.0,254.5655,COINBASE:ETCUSD,43.233,45.497,38.953,39.392,353.0201,COINBASE:DOGEUSD,0.264,0.29,0.2285,0.2375,645832.6941,COINBASE:STORJUSD,0.6798,0.6955,0.6029,0.6112,2313.291,COINBASE:ADAUSD,1.36,1.3961,1.2409,1.2529,96273.1901,COINBASE:BTCUSD,34654.87,35500.0,31300.0,31594.63,26.5052,COINBASE:ETHUSD,1988.81,2019.39,1792.0,1809.07,370.7398,COINBASE:SOLUSD,31.201,32.98,27.93,28.646,646.7629,COINBASE:UNIUSD,18.0962,18.3264,15.6927,15.8273,882.0699
2021-06-25,COINBASE:COMPUSD,222.0,229.47,211.73,225.24,24.3483,COINBASE:SUSHIUSD,6.299,7.137,6.065,6.829,1284.8682,COINBASE:LTCUSD,124.97,129.37,118.71,126.81,198.9241,COINBASE:ETCUSD,39.354,40.958,37.532,40.503,204.3712,COINBASE:DOGEUSD,0.2374,0.2557,0.2306,0.2459,208364.3176,COINBASE:STORJUSD,0.6107,0.69,0.5817,0.628,3411.4806,COINBASE:ADAUSD,1.2529,1.2918,1.2,1.2518,52812.1195,COINBASE:BTCUSD,31594.62,32711.68,30173.49,32275.19,18.2994,COINBASE:ETHUSD,1809.07,1851.97,1717.41,1829.17,238.2072,COINBASE:SOLUSD,28.6,30.121,26.72,29.739,469.7591,COINBASE:UNIUSD,15.8305,16.4595,15.1177,16.1248,475.3333
2021-06-26,COINBASE:COMPUSD,225.5,257.79,223.67,257.46,25.2688,COINBASE:SUSHIUSD,6.83,7.14,6.487,7.14,873.2014,COINBASE:LTCUSD,126.76,132.7,124.61,132.67,193.6433,COINBASE:ETCUSD,40.503,42.473,39.412,42.327,175.5404,COINBASE:DOGEUSD,0.2458,0.2677,0.2403,0.2647,180482.5664,COINBASE:STORJUSD,0.6285,0.6573,0.6071,0.6564,2430.1583,COINBASE:ADAUSD,1.2519,1.35,1.2421,1.3372,46886.1002,COINBASE:BTCUSD,32267.59,34749.0,32002.21,34709.23,14.4289,COINBASE:ETHUSD,1829.0,1988.62,1807.89,1984.71,177.4139,COINBASE:SOLUSD,29.739,31.98,29.205,31.92,431.4912,COINBASE:UNIUSD,16.1278,17.1043,15.6322,17.1043,354.6942
