,symbol,open,high,low,close,volume
2021-06-16,COINBASE:SOLUSD,40.5,40.5,38.219,39.25,202.1117
2021-06-17,COINBASE:SOLUSD,39.321,39.45,35.0,36.842,471.3617
2021-06-18,COINBASE:SOLUSD,36.875,37.361,34.977,35.2,263.0026
2021-06-19,COINBASE:SOLUSD,35.2,35.954,31.324,35.271,287.189
2021-06-20,COINBASE:SOLUSD,35.286,35.532,26.0,26.625,836.3744
2021-06-21,COINBASE:SOLUSD,26.631,28.773,20.181,26.982,1438.7373
2021-06-22,COINBASE:SOLUSD,26.979,32.957,25.682,30.838,1145.607
2021-06-23,COINBASE:SOLUSD,30.851,33.0,28.477,31.187,883.0309
2021-06-24,COINBASE:SOLUSD,31.201,32.98,27.93,28.646,646.7629
2021-06-25,COINBASE:SOLUSD,28.6,30.121,26.72,29.739,469.7591
2021-06-26,COINBASE:SOLUSD,29.739,31.98,29.205,31.92,431.4912
2021-06-27,COINBASE:SOLUSD,31.935,34.323,31.01,33.013,459.7579
2021-06-28,COINBASE:SOLUSD,33.033,35.829,32.655,33.963,553.0054
2021-06-29,COINBASE:SOLUSD,33.951,36.0,31.602,35.565,754.7206
2021-06-30,COINBASE:SOLUSD,35.545,35.601,32.182,33.29,541.9181
2021-07-01,COINBASE:SOLUSD,33.28,34.1,31.408,33.991,458.5775
2021-07-02,COINBASE:SOLUSD,33.991,35.392,33.26,34.558,261.8024
2021-07-03,COINBASE:SOLUSD,34.536,35.504,33.582,34.332,243.5881
2021-07-04,COINBASE:SOLUSD,34.304,34.479,32.45,32.92,250.8659
2021-07-05,COINBASE:SOLUSD,32.922,35.048,32.909,34.217,348.0231
2021-07-06,COINBASE:SOLUSD,34.213,38.1,33.83,36.718,902.836
2021-07-07,COINBASE:SOLUSD,36.678,36.962,32.586,33.161,656.0955
2021-07-08,COINBASE:SOLUSD,33.163,34.43,32.0,33.335,342.9653
2021-07-09,COINBASE:SOLUSD,33.3,34.223,31.069,31.722,317.8096
2021-07-10,COINBASE:SOLUSD,31.716,32.551,31.368,32.2,229.085
2021-07-11,COINBASE:SOLUSD,32.191,32.686,30.0,30.749,330.887
2021-07-12,COINBASE:SOLUSD,30.792,31.09,28.831,29.15,338.7408
2021-07-13,COINBASE:SOLUSD,29.173,31.468,27.442,31.349,384.5596
2021-07-14,COINBASE:SOLUSD,31.33,31.5,28.0,28.594,488.2208
2021-07-15,COINBASE:SOLUSD,28.575,29.48,26.204,26.296,336.913
2021-07-16,COINBASE:SOLUSD,26.291,27.822,26.0,26.764,371.5018
2021-07-17,COINBASE:SOLUSD,26.743,27.753,26.265,26.702,187.6793
2021-07-18,COINBASE:SOLUSD,26.696,26.711,24.0,24.524,704.2492
2021-07-19,COINBASE:SOLUSD,24.539,24.993,22.139,23.472,684.9425
2021-07-20,COINBASE:SOLUSD,23.489,27.476,22.818,26.691,648.4331
2021-07-21,COINBASE:SOLUSD,26.702,28.193,25.935,27.713,533.9941
2021-07-22,COINBASE:SOLUSD,27.706,28.704,26.404,28.539,473.6825
2021-07-23,COINBASE:SOLUSD,28.554,29.508,28.036,28.65,407.7019
2021-07-24,COINBASE:SOLUSD,28.652,28.896,26.556,28.253,450.1797
2021-07-25,COINBASE:SOLUSD,28.26,31.103,27.883,28.196,1209.1884
2021-07-26,COINBASE:SOLUSD,28.2,29.013,26.909,28.158,704.0297
2021-07-27,COINBASE:SOLUSD,28.152,28.782,27.38,27.899,600.059
2021-07-28,COINBASE:SOLUSD,27.894,31.935,27.33,31.295,604.8015
2021-07-29,COINBASE:SOLUSD,31.309,33.082,29.998,32.41,995.6588
2021-07-30,COINBASE:SOLUSD,32.389,37.0,31.705,36.759,906.6184
2021-07-31,COINBASE:SOLUSD,36.8,36.866,33.276,34.198,659.6107
2021-08-01,COINBASE:SOLUSD,34.162,35.93,33.03,33.187,731.1917
2021-08-02,COINBASE:SOLUSD,33.227,35.878,32.36,34.116,795.9035
2021-08-03,COINBASE:SOLUSD,34.116,36.662,33.268,35.794,733.1148
2021-08-04,COINBASE:SOLUSD,35.779,38.28,35.483,37.398,830.9641
2021-08-05,COINBASE:SOLUSD,37.427,40.453,35.672,39.513,709.5765
2021-08-06,COINBASE:SOLUSD,39.52,40.496,37.571,39.516,600.8467
2021-08-07,COINBASE:SOLUSD,39.506,39.594,36.92,37.689,383.2413
2021-08-08,COINBASE:SOLUSD,37.69,40.023,36.382,38.676,480.5755
2021-08-09,COINBASE:SOLUSD,38.679,41.768,38.222,40.691,637.8573
2021-08-10,COINBASE:SOLUSD,40.691,43.749,40.634,41.65,697.9145
2021-08-11,COINBASE:SOLUSD,41.653,43.49,39.286,41.102,770.0779
2021-08-12,COINBASE:SOLUSD,41.126,44.963,40.702,44.9,885.394
2021-08-13,COINBASE:SOLUSD,44.885,44.906,42.8,44.187,345.9624
2021-08-14,COINBASE:SOLUSD,44.175,54.778,43.427,53.556,1987.1356
2021-08-15,COINBASE:SOLUSD,53.565,69.494,52.3,62.055,3950.9581
2021-08-16,COINBASE:SOLUSD,62.087,75.0,58.677,64.169,4623.6426
2021-08-17,COINBASE:SOLUSD,64.209,80.55,59.772,72.776,5265.5133
2021-08-18,COINBASE:SOLUSD,72.729,75.496,68.339,72.831,2769.2306
2021-08-19,COINBASE:SOLUSD,72.803,80.0,70.926,78.746,2221.3652
2021-08-20,COINBASE:SOLUSD,78.72,82.044,72.691,73.937,1558.5084
2021-08-21,COINBASE:SOLUSD,73.896,77.64,71.321,72.809,917.5906
2021-08-22,COINBASE:SOLUSD,72.811,76.783,71.548,75.655,1349.4169
2021-08-23,COINBASE:SOLUSD,75.655,79.467,68.676,70.591,2169.9047
2021-08-24,COINBASE:SOLUSD,70.503,72.82,66.151,71.986,1659.3431
2021-08-25,COINBASE:SOLUSD,72.0,78.372,66.254,74.823,3098.5016
2021-08-26,COINBASE:SOLUSD,74.905,88.881,72.577,88.053,2927.8479
2021-08-27,COINBASE:SOLUSD,88.087,98.0,85.634,96.246,2083.0868
2021-08-28,COINBASE:SOLUSD,96.254,97.836,90.403,94.287,1380.2766
2021-08-29,COINBASE:SOLUSD,94.305,116.6,93.722,110.347,4768.5981
2021-08-30,COINBASE:SOLUSD,110.347,130.066,103.099,108.29,6545.8461
2021-08-31,COINBASE:SOLUSD,108.29,119.68,105.96,110.671,3431.3146
2021-09-01,COINBASE:SOLUSD,110.674,132.162,109.203,128.346,3308.7285
2021-09-02,COINBASE:SOLUSD,128.339,149.062,128.174,146.524,4569.0195
2021-09-03,COINBASE:SOLUSD,146.487,150.721,135.681,138.998,2566.6826
2021-09-04,COINBASE:SOLUSD,139.01,145.258,135.011,142.138,1841.4948
2021-09-05,COINBASE:SOLUSD,142.137,166.206,137.512,164.316,3102.9993
2021-09-06,COINBASE:SOLUSD,164.377,200.0,134.242,173.4,9115.7133
2021-09-07,COINBASE:SOLUSD,173.4,198.0,146.69,191.03,6719.6761
2021-09-08,COINBASE:SOLUSD,190.927,216.47,180.901,187.908,6509.6953
2021-09-09,COINBASE:SOLUSD,187.907,197.489,167.808,179.51,3971.0827
2021-09-10,COINBASE:SOLUSD,179.557,193.775,175.3,179.122,2634.6036
2021-09-11,COINBASE:SOLUSD,179.122,181.675,170.175,174.272,1619.1732
2021-09-12,COINBASE:SOLUSD,174.288,175.153,150.331,169.797,4065.1258
2021-09-13,COINBASE:SOLUSD,169.57,171.95,142.0,158.64,4232.077
2021-09-14,COINBASE:SOLUSD,158.64,166.386,153.75,158.433,2598.2574
2021-09-15,COINBASE:SOLUSD,158.478,162.95,147.254,152.043,2042.518
2021-09-16,COINBASE:SOLUSD,152.018,153.341,134.1,147.592,3742.6211
2021-09-17,COINBASE:SOLUSD,147.619,171.726,144.2,169.336,3945.5982
2021-09-18,COINBASE:SOLUSD,169.391,171.06,153.089,154.618,2108.8522
