,symbol,open,high,low,close,volume
2020-09-16,COINBASE:UNIUSD,1.09941098971,4.31,0.469926010377,4.2101,1911.6534
2020-09-17,COINBASE:UNIUSD,4.26,8.6698,3.2935,6.9695,33210.0512
2020-09-18,COINBASE:UNIUSD,6.9695,7.4855,5.237,5.7302,12407.8696
2020-09-19,COINBASE:UNIUSD,5.715,6.0924,4.65,5.2077,8240.1018
2020-09-20,COINBASE:UNIUSD,5.209,5.6367,4.0111,4.2796,6393.943
2020-09-21,COINBASE:UNIUSD,4.2778,4.5493,3.701,3.9126,6010.2817
2020-09-22,COINBASE:UNIUSD,3.9198,5.3933,3.9057,4.3683,12990.411
2020-09-23,COINBASE:UNIUSD,4.374,5.2999,4.2647,5.1584,7881.8155
2020-09-24,COINBASE:UNIUSD,5.1584,5.5609,4.775,4.9219,6190.7734
2020-09-25,COINBASE:UNIUSD,4.9211,4.9899,4.5879,4.8653,3253.4962
2020-09-26,COINBASE:UNIUSD,4.8702,5.2111,4.7007,4.8506,2513.9353
2020-09-27,COINBASE:UNIUSD,4.8559,4.9462,4.1598,4.25,3882.0122
2020-09-28,COINBASE:UNIUSD,4.25,4.4524,4.122,4.3864,3351.8276
2020-09-29,COINBASE:UNIUSD,4.3864,4.3889,3.95,4.1567,2293.1742
2020-09-30,COINBASE:UNIUSD,4.1567,4.5176,3.9,4.2423,4540.9233
2020-10-01,COINBASE:UNIUSD,4.2378,4.2378,3.5777,3.8934,4375.9575
2020-10-02,COINBASE:UNIUSD,3.8922,4.1312,3.8312,3.9074,1774.7126
2020-10-03,COINBASE:UNIUSD,3.9074,3.9429,3.607,3.722,2960.1314
2020-10-04,COINBASE:UNIUSD,3.7271,3.7961,3.187,3.323,4588.4377
2020-10-05,COINBASE:UNIUSD,3.3175,3.353,2.628,2.7162,7685.9613
2020-10-06,COINBASE:UNIUSD,2.7148,3.0095,2.4794,2.962,8272.1193
2020-10-07,COINBASE:UNIUSD,2.9664,3.4676,2.6435,3.3558,7385.517
2020-10-08,COINBASE:UNIUSD,3.3525,3.5998,3.175,3.3825,4343.6009
2020-10-09,COINBASE:UNIUSD,3.3825,3.6575,3.2729,3.296,2817.9467
2020-10-10,COINBASE:UNIUSD,3.2958,3.4512,3.1834,3.3633,1882.782
2020-10-11,COINBASE:UNIUSD,3.3633,3.6167,3.286,3.4651,1772.2636
2020-10-12,COINBASE:UNIUSD,3.4642,3.499,3.2939,3.3612,944.285
2020-10-13,COINBASE:UNIUSD,3.3603,3.437,2.9725,3.1114,2146.8543
2020-10-14,COINBASE:UNIUSD,3.1114,3.1841,2.9209,3.084,2349.8664
2020-10-15,COINBASE:UNIUSD,3.0837,3.3816,2.88,3.048,4030.8007
2020-10-16,COINBASE:UNIUSD,3.0485,3.1275,2.9804,3.0591,1178.2892
2020-10-17,COINBASE:UNIUSD,3.0572,3.29,3.0454,3.2884,1381.249
2020-10-18,COINBASE:UNIUSD,3.2851,3.2899,3.11,3.1737,1077.6375
2020-10-19,COINBASE:UNIUSD,3.1717,3.1922,2.82,2.8631,2344.9613
2020-10-20,COINBASE:UNIUSD,2.8645,3.0931,2.8423,2.9435,2392.1475
2020-10-21,COINBASE:UNIUSD,2.9443,3.1538,2.9251,3.0438,1728.1982
2020-10-22,COINBASE:UNIUSD,3.0457,3.1256,2.9687,3.0179,1182.8712
2020-10-23,COINBASE:UNIUSD,3.0171,3.0872,2.93,2.9446,1303.271
2020-10-24,COINBASE:UNIUSD,2.9417,2.97,2.7158,2.7793,1693.4712
2020-10-25,COINBASE:UNIUSD,2.7782,2.8766,2.5302,2.7159,2940.8866
2020-10-26,COINBASE:UNIUSD,2.718,2.9135,2.7055,2.8111,1892.0724
2020-10-27,COINBASE:UNIUSD,2.8054,2.8605,2.597,2.6714,1482.0038
2020-10-28,COINBASE:UNIUSD,2.6645,2.7405,2.4925,2.5426,1256.6783
2020-10-29,COINBASE:UNIUSD,2.5386,2.5652,2.2391,2.4163,3615.1763
2020-10-30,COINBASE:UNIUSD,2.4145,2.4157,2.2438,2.2692,1684.984
2020-10-31,COINBASE:UNIUSD,2.267,2.4501,2.2177,2.3799,2104.3003
2020-11-01,COINBASE:UNIUSD,2.3812,2.4545,2.2258,2.2563,1512.788
2020-11-02,COINBASE:UNIUSD,2.2561,2.2868,2.0563,2.1392,3299.2504
2020-11-03,COINBASE:UNIUSD,2.1374,2.1664,1.878,1.9336,3373.2606
2020-11-04,COINBASE:UNIUSD,1.9321,2.44,1.7606,2.1946,7723.082
2020-11-05,COINBASE:UNIUSD,2.1949,2.6958,2.1771,2.5704,7501.0986
2020-11-06,COINBASE:UNIUSD,2.5743,3.0329,2.41,2.4797,10323.6755
2020-11-07,COINBASE:UNIUSD,2.4792,2.9209,2.4362,2.8665,3344.1888
2020-11-08,COINBASE:UNIUSD,2.8667,2.8807,2.5747,2.6805,3507.0967
2020-11-09,COINBASE:UNIUSD,2.6826,3.1772,2.6282,3.0784,3889.073
2020-11-10,COINBASE:UNIUSD,3.0787,3.2206,2.886,2.9354,2941.1454
2020-11-11,COINBASE:UNIUSD,2.9358,3.1399,2.842,2.9603,2563.3764
2020-11-12,COINBASE:UNIUSD,2.9622,3.9999,2.939,3.8624,6421.4101
2020-11-13,COINBASE:UNIUSD,3.8655,3.9735,3.5131,3.813,4891.2148
2020-11-14,COINBASE:UNIUSD,3.8157,4.2498,3.62,3.8497,6707.3446
2020-11-15,COINBASE:UNIUSD,3.8452,3.94,3.4489,3.5608,5405.8909
2020-11-16,COINBASE:UNIUSD,3.564,3.8666,3.4805,3.8132,5437.0143
2020-11-17,COINBASE:UNIUSD,3.8162,3.8533,3.2788,3.4624,4749.2612
2020-11-18,COINBASE:UNIUSD,3.4666,3.9163,3.231,3.7512,5123.2762
2020-11-19,COINBASE:UNIUSD,3.7482,4.0907,3.68,3.8619,5046.911
2020-11-20,COINBASE:UNIUSD,3.8619,3.9407,3.5834,3.8341,3983.7751
2020-11-21,COINBASE:UNIUSD,3.8448,3.9552,3.4146,3.6819,4059.5529
2020-11-22,COINBASE:UNIUSD,3.6899,4.2333,3.633,4.1856,4722.9636
2020-11-23,COINBASE:UNIUSD,4.1914,4.4871,3.9342,4.066,4768.5204
2020-11-24,COINBASE:UNIUSD,4.0678,4.204,3.5264,3.6676,4090.7485
2020-11-25,COINBASE:UNIUSD,3.6753,3.7702,3.1,3.435,6260.2365
2020-11-26,COINBASE:UNIUSD,3.435,3.538,3.1609,3.311,2867.5494
2020-11-27,COINBASE:UNIUSD,3.3081,3.5346,3.2578,3.4638,1967.5533
2020-11-28,COINBASE:UNIUSD,3.4605,3.5764,3.3651,3.5606,1009.582
2020-11-29,COINBASE:UNIUSD,3.5634,3.8085,3.5366,3.7743,1804.9808
2020-11-30,COINBASE:UNIUSD,3.7664,3.986,3.4111,3.5541,3025.5876
2020-12-01,COINBASE:UNIUSD,3.5529,4.174,3.4982,3.9532,3000.9314
2020-12-02,COINBASE:UNIUSD,3.947,4.0263,3.8023,3.8886,1742.3523
2020-12-03,COINBASE:UNIUSD,3.885,3.9209,3.5,3.5232,1370.1096
2020-12-04,COINBASE:UNIUSD,3.52,3.698,3.45,3.6828,1202.6752
2020-12-05,COINBASE:UNIUSD,3.6837,3.7949,3.51,3.6534,894.006
2020-12-06,COINBASE:UNIUSD,3.6534,3.878,3.564,3.7544,1448.9681
2020-12-07,COINBASE:UNIUSD,3.7576,3.7622,3.276,3.2977,2054.5181
2020-12-08,COINBASE:UNIUSD,3.2915,3.3986,3.1171,3.3555,2374.2298
2020-12-09,COINBASE:UNIUSD,3.3576,3.3715,3.19,3.2399,720.7029
2020-12-10,COINBASE:UNIUSD,3.2441,3.2489,2.9111,2.9631,2723.8451
2020-12-11,COINBASE:UNIUSD,2.9628,3.1861,2.9581,3.1231,1771.6902
2020-12-12,COINBASE:UNIUSD,3.123,3.3639,3.0726,3.3361,902.8075
2020-12-13,COINBASE:UNIUSD,3.3312,3.55,3.2366,3.4871,1580.7423
2020-12-14,COINBASE:UNIUSD,3.4869,3.518,3.3084,3.3296,1215.3596
2020-12-15,COINBASE:UNIUSD,3.3288,3.5436,3.2432,3.5403,1926.3242
2020-12-16,COINBASE:UNIUSD,3.5352,4.0,3.4387,3.6968,3340.7973
2020-12-17,COINBASE:UNIUSD,3.6975,3.8557,3.5466,3.7655,2474.0509
2020-12-18,COINBASE:UNIUSD,3.7736,4.2493,3.708,3.9606,4944.0464
2020-12-19,COINBASE:UNIUSD,3.96,4.0253,3.7091,3.7539,2076.654
2020-12-20,COINBASE:UNIUSD,3.75,3.9242,3.4049,3.5113,2265.9853
2020-12-21,COINBASE:UNIUSD,3.5128,3.7733,3.2838,3.7344,2420.445
2020-12-22,COINBASE:UNIUSD,3.7328,3.7745,3.02,3.3137,3477.8206
